repo,quarter,author_login,commit_count
PostHog/posthog,2023-Q1,pauldambra,179
PostHog/posthog,2023-Q1,joethreepwood,3
PostHog/posthog,2023-Q1,frankh,5
PostHog/posthog,2023-Q1,tiina303,26
PostHog/posthog,2023-Q1,benjackwhite,59
PostHog/posthog,2023-Q1,_name:Harry Waye,53
PostHog/posthog,2023-Q1,tomasfarias,28
PostHog/posthog,2023-Q1,yakkomajuri,84
PostHog/posthog,2023-Q1,mariusandra,73
PostHog/posthog,2023-Q1,liyiy,31
PostHog/posthog,2023-Q1,caxco93,1
PostHog/posthog,2023-Q1,Twixes,81
PostHog/posthog,2023-Q1,raquelmsmith,35
PostHog/posthog,2023-Q1,neilkakkar,44
PostHog/posthog,2023-Q1,posthog-bot,28
PostHog/posthog,2023-Q1,fuziontech,10
PostHog/posthog,2023-Q1,EDsCODE,22
PostHog/posthog,2023-Q1,dependabot[bot],3
PostHog/posthog,2023-Q1,timgl,11
PostHog/posthog,2023-Q1,lharries,15
PostHog/posthog,2023-Q1,thmsobrmlr,62
PostHog/posthog,2023-Q1,macobo,38
PostHog/posthog,2023-Q1,xvello,31
PostHog/posthog,2023-Q1,kappa90,19
PostHog/posthog,2023-Q1,pjhul,5
PostHog/posthog,2023-Q1,wwchen,1
PostHog/posthog,2023-Q1,alexkim205,13
PostHog/posthog,2023-Q1,camerondeleone,1
PostHog/posthog,2023-Q1,naquiuddin,1
PostHog/posthog,2023-Q1,simfish85,1
PostHog/posthog,2023-Q1,guidoiaquinti,5
PostHog/posthog,2023-Q2,timgl,10
PostHog/posthog,2023-Q2,pauldambra,168
PostHog/posthog,2023-Q2,EDsCODE,36
PostHog/posthog,2023-Q2,raquelmsmith,34
PostHog/posthog,2023-Q2,Twixes,107
PostHog/posthog,2023-Q2,_name:Harry Waye,87
PostHog/posthog,2023-Q2,neilkakkar,64
PostHog/posthog,2023-Q2,thmsobrmlr,75
PostHog/posthog,2023-Q2,tiina303,56
PostHog/posthog,2023-Q2,mariusandra,97
PostHog/posthog,2023-Q2,daibhin,1
PostHog/posthog,2023-Q2,tomasfarias,30
PostHog/posthog,2023-Q2,benjackwhite,81
PostHog/posthog,2023-Q2,fuziontech,15
PostHog/posthog,2023-Q2,liyiy,17
PostHog/posthog,2023-Q2,xvello,62
PostHog/posthog,2023-Q2,frankh,7
PostHog/posthog,2023-Q2,posthog-bot,26
PostHog/posthog,2023-Q2,yakkomajuri,26
PostHog/posthog,2023-Q2,_name:Ellie Huxtable,19
PostHog/posthog,2023-Q2,coder-Aayush,1
PostHog/posthog,2023-Q2,psykomal,1
PostHog/posthog,2023-Q2,_name:Charlotte McGinn,1
PostHog/posthog,2023-Q2,chandeldivyam,1
PostHog/posthog,2023-Q2,joethreepwood,3
PostHog/posthog,2023-Q2,lharries,3
PostHog/posthog,2023-Q2,dependabot[bot],1
PostHog/posthog,2023-Q2,charlottemcginn,1
PostHog/posthog,2023-Q2,kappa90,2
PostHog/posthog,2023-Q3,pauldambra,161
PostHog/posthog,2023-Q3,tomasfarias,63
PostHog/posthog,2023-Q3,mariusandra,46
PostHog/posthog,2023-Q3,benjackwhite,108
PostHog/posthog,2023-Q3,jurajmajerik,6
PostHog/posthog,2023-Q3,fuziontech,11
PostHog/posthog,2023-Q3,raquelmsmith,29
PostHog/posthog,2023-Q3,tiina303,45
PostHog/posthog,2023-Q3,thmsobrmlr,64
PostHog/posthog,2023-Q3,Twixes,70
PostHog/posthog,2023-Q3,robbie-c,6
PostHog/posthog,2023-Q3,neilkakkar,61
PostHog/posthog,2023-Q3,timgl,5
PostHog/posthog,2023-Q3,posthog-bot,23
PostHog/posthog,2023-Q3,daibhin,74
PostHog/posthog,2023-Q3,Gilbert09,4
PostHog/posthog,2023-Q3,frankh,8
PostHog/posthog,2023-Q3,bretthoerner,7
PostHog/posthog,2023-Q3,maxbelm,2
PostHog/posthog,2023-Q3,liyiy,29
PostHog/posthog,2023-Q3,EDsCODE,17
PostHog/posthog,2023-Q3,xvello,26
PostHog/posthog,2023-Q3,_name:Ellie Huxtable,11
PostHog/posthog,2023-Q3,Lior539,1
PostHog/posthog,2023-Q3,danielxnj,6
PostHog/posthog,2023-Q3,lawalbolaji,1
PostHog/posthog,2023-Q3,jacobwgillespie,2
PostHog/posthog,2023-Q3,ReeceGao,1
PostHog/posthog,2023-Q3,zimmski,1
PostHog/posthog,2023-Q3,joethreepwood,10
PostHog/posthog,2023-Q3,nategrift,10
PostHog/posthog,2023-Q3,Greatseun02,1
PostHog/posthog,2023-Q3,fcoelho,1
PostHog/posthog,2023-Q3,Arun-chaitanya,4
PostHog/posthog,2023-Q3,thinklinux,2
PostHog/posthog,2023-Q3,dependabot[bot],4
PostHog/posthog,2023-Q3,ryan-pypestream,1
PostHog/posthog,2023-Q3,_name:Harry Waye,30
PostHog/posthog,2023-Q3,corywatilo,1
PostHog/posthog,2023-Q4,thmsobrmlr,109
PostHog/posthog,2023-Q4,daibhin,121
PostHog/posthog,2023-Q4,EDsCODE,35
PostHog/posthog,2023-Q4,tomasfarias,122
PostHog/posthog,2023-Q4,marandaneto,6
PostHog/posthog,2023-Q4,mariusandra,67
PostHog/posthog,2023-Q4,webjunkie,30
PostHog/posthog,2023-Q4,bretthoerner,83
PostHog/posthog,2023-Q4,raquelmsmith,35
PostHog/posthog,2023-Q4,jurajmajerik,34
PostHog/posthog,2023-Q4,benjackwhite,157
PostHog/posthog,2023-Q4,ahsan722505,3
PostHog/posthog,2023-Q4,pauldambra,167
PostHog/posthog,2023-Q4,robbie-c,58
PostHog/posthog,2023-Q4,xrdt,19
PostHog/posthog,2023-Q4,tkaemming,8
PostHog/posthog,2023-Q4,AmsTaFFix,1
PostHog/posthog,2023-Q4,corywatilo,15
PostHog/posthog,2023-Q4,xvello,47
PostHog/posthog,2023-Q4,timgl,9
PostHog/posthog,2023-Q4,Twixes,77
PostHog/posthog,2023-Q4,liyiy,44
PostHog/posthog,2023-Q4,posthog-bot,53
PostHog/posthog,2023-Q4,danielxnj,3
PostHog/posthog,2023-Q4,_name:David Murphy,5
PostHog/posthog,2023-Q4,tiina303,39
PostHog/posthog,2023-Q4,_name:Ellie Huxtable,11
PostHog/posthog,2023-Q4,Gilbert09,45
PostHog/posthog,2023-Q4,fuziontech,9
PostHog/posthog,2023-Q4,jack-lewin,1
PostHog/posthog,2023-Q4,charlescook-ph,1
PostHog/posthog,2023-Q4,joethreepwood,1
PostHog/posthog,2023-Q4,ellie,8
PostHog/posthog,2023-Q4,frankh,10
PostHog/posthog,2023-Q4,Neon-20,1
PostHog/posthog,2023-Q4,neilkakkar,42
PostHog/posthog,2023-Q4,dependabot[bot],4
PostHog/posthog,2023-Q4,smallbrownbike,3
PostHog/posthog,2023-Q4,ssoonmi,1
PostHog/posthog,2023-Q4,phukon,1
PostHog/posthog,2023-Q4,sksDonni,1
PostHog/posthog,2023-Q4,davidhaley,1
PostHog/posthog,2023-Q4,Justicea83,2
PostHog/posthog,2023-Q4,rishabnayak,3
PostHog/posthog,2023-Q4,taylorterry3,1
PostHog/posthog,2023-Q4,jacobwgillespie,1
PostHog/posthog,2023-Q4,thwilson3,1
PostHog/posthog,2023-Q4,_name:Justice Arthur,1
PostHog/posthog,2023-Q4,pausan,1
PostHog/posthog,2023-Q4,ivanagas,1
PostHog/posthog,2023-Q4,_name:Chandra Kiran G,1
PostHog/posthog,2023-Q4,MarconLP,2
PostHog/posthog,2023-Q4,jasonyavorsky,1
PostHog/posthog,2023-Q4,_name:Craig Pastro,1
PostHog/posthog,2024-Q1,raquelmsmith,49
PostHog/posthog,2024-Q1,fuziontech,8
PostHog/posthog,2024-Q1,robbie-c,40
PostHog/posthog,2024-Q1,Twixes,76
PostHog/posthog,2024-Q1,mariusandra,73
PostHog/posthog,2024-Q1,pauldambra,151
PostHog/posthog,2024-Q1,bretthoerner,74
PostHog/posthog,2024-Q1,EDsCODE,45
PostHog/posthog,2024-Q1,tkaemming,19
PostHog/posthog,2024-Q1,neilkakkar,27
PostHog/posthog,2024-Q1,daibhin,86
PostHog/posthog,2024-Q1,timgl,8
PostHog/posthog,2024-Q1,jurajmajerik,32
PostHog/posthog,2024-Q1,zlwaterfield,18
PostHog/posthog,2024-Q1,thmsobrmlr,82
PostHog/posthog,2024-Q1,xvello,17
PostHog/posthog,2024-Q1,tomasfarias,49
PostHog/posthog,2024-Q1,frankh,13
PostHog/posthog,2024-Q1,benjackwhite,87
PostHog/posthog,2024-Q1,marandaneto,16
PostHog/posthog,2024-Q1,posthog-bot,48
PostHog/posthog,2024-Q1,webjunkie,75
PostHog/posthog,2024-Q1,tiina303,32
PostHog/posthog,2024-Q1,Gilbert09,55
PostHog/posthog,2024-Q1,xrdt,27
PostHog/posthog,2024-Q1,kylegalbraith,1
PostHog/posthog,2024-Q1,corywatilo,3
PostHog/posthog,2024-Q1,joethreepwood,1
PostHog/posthog,2024-Q1,dependabot[bot],22
PostHog/posthog,2024-Q1,danielxnj,5
PostHog/posthog,2024-Q1,MarconLP,16
PostHog/posthog,2024-Q1,peh,1
PostHog/posthog,2024-Q1,IanWoodard,1
PostHog/posthog,2024-Q1,tonomb,1
PostHog/posthog,2024-Q1,aarongarciah,1
PostHog/posthog,2024-Q1,liyiy,9
PostHog/posthog,2024-Q1,Lior539,1
PostHog/posthog,2024-Q1,charlescook-ph,1
PostHog/posthog,2024-Q1,RhysSullivan,1
PostHog/posthog,2024-Q1,arunsathiya,1
PostHog/posthog,2024-Q1,baristaGeek,1
PostHog/posthog,2024-Q2,robbie-c,40
PostHog/posthog,2024-Q2,dmarticus,7
PostHog/posthog,2024-Q2,pauldambra,138
PostHog/posthog,2024-Q2,benjackwhite,87
PostHog/posthog,2024-Q2,EDsCODE,84
PostHog/posthog,2024-Q2,zlwaterfield,41
PostHog/posthog,2024-Q2,webjunkie,96
PostHog/posthog,2024-Q2,Twixes,98
PostHog/posthog,2024-Q2,mariusandra,70
PostHog/posthog,2024-Q2,edhgoose,1
PostHog/posthog,2024-Q2,tomasfarias,30
PostHog/posthog,2024-Q2,aspicer,43
PostHog/posthog,2024-Q2,thmsobrmlr,64
PostHog/posthog,2024-Q2,ZeleniJure,1
PostHog/posthog,2024-Q2,raquelmsmith,30
PostHog/posthog,2024-Q2,daibhin,94
PostHog/posthog,2024-Q2,nikitaevg,11
PostHog/posthog,2024-Q2,posthog-bot,57
PostHog/posthog,2024-Q2,dependabot[bot],11
PostHog/posthog,2024-Q2,Gilbert09,77
PostHog/posthog,2024-Q2,marandaneto,1
PostHog/posthog,2024-Q2,jurajmajerik,32
PostHog/posthog,2024-Q2,fuziontech,8
PostHog/posthog,2024-Q2,frankh,60
PostHog/posthog,2024-Q2,_name:Phani Raj,5
PostHog/posthog,2024-Q2,timgl,32
PostHog/posthog,2024-Q2,tkaemming,17
PostHog/posthog,2024-Q2,neilkakkar,28
PostHog/posthog,2024-Q2,skoob13,1
PostHog/posthog,2024-Q2,tiina303,40
PostHog/posthog,2024-Q2,shawnlikescode,1
PostHog/posthog,2024-Q2,MarconLP,18
PostHog/posthog,2024-Q2,xrdt,34
PostHog/posthog,2024-Q2,bretthoerner,25
PostHog/posthog,2024-Q2,joethreepwood,5
PostHog/posthog,2024-Q2,xvello,35
PostHog/posthog,2024-Q2,Lior539,2
PostHog/posthog,2024-Q2,ivanagas,1
PostHog/posthog,2024-Q2,Phanatic,9
PostHog/posthog,2024-Q2,feedanal,6
PostHog/posthog,2024-Q2,marcj,1
PostHog/posthog,2024-Q2,slshults,3
PostHog/posthog,2024-Q2,matzexcom,1
PostHog/posthog,2024-Q2,mishushakov,1
PostHog/posthog,2024-Q2,abenezerBelachew,1
PostHog/posthog,2024-Q2,Pety99,1
PostHog/posthog,2024-Q2,kappa90,1
PostHog/posthog,2024-Q2,vsupalov,1
PostHog/posthog,2024-Q2,corywatilo,2
PostHog/posthog,2024-Q2,liyiy,1
PostHog/posthog,2024-Q2,danielxnj,1
PostHog/posthog,2024-Q2,aryanrawlani28,1
PostHog/posthog,2024-Q2,sjmiller609,1
PostHog/posthog,2024-Q2,jacobwgillespie,1
PostHog/posthog,2024-Q3,zlwaterfield,38
PostHog/posthog,2024-Q3,pauldambra,94
PostHog/posthog,2024-Q3,EDsCODE,54
PostHog/posthog,2024-Q3,jurajmajerik,39
PostHog/posthog,2024-Q3,oliverb123,54
PostHog/posthog,2024-Q3,Twixes,60
PostHog/posthog,2024-Q3,benjackwhite,142
PostHog/posthog,2024-Q3,tomasfarias,62
PostHog/posthog,2024-Q3,daibhin,77
PostHog/posthog,2024-Q3,posthog-bot,46
PostHog/posthog,2024-Q3,marandaneto,5
PostHog/posthog,2024-Q3,aspicer,29
PostHog/posthog,2024-Q3,patricio-posthog,1
PostHog/posthog,2024-Q3,tkaemming,12
PostHog/posthog,2024-Q3,mariusandra,65
PostHog/posthog,2024-Q3,timgl,16
PostHog/posthog,2024-Q3,dmarticus,37
PostHog/posthog,2024-Q3,_name:Phani Raj,16
PostHog/posthog,2024-Q3,Lior539,3
PostHog/posthog,2024-Q3,skoob13,45
PostHog/posthog,2024-Q3,raquelmsmith,28
PostHog/posthog,2024-Q3,Gilbert09,109
PostHog/posthog,2024-Q3,richard-better,4
PostHog/posthog,2024-Q3,robbie-c,58
PostHog/posthog,2024-Q3,anirudh24seven,2
PostHog/posthog,2024-Q3,webjunkie,39
PostHog/posthog,2024-Q3,xu20160924,1
PostHog/posthog,2024-Q3,abhi12299,2
PostHog/posthog,2024-Q3,MarconLP,23
PostHog/posthog,2024-Q3,neilkakkar,5
PostHog/posthog,2024-Q3,frankh,44
PostHog/posthog,2024-Q3,anirudhpillai,22
PostHog/posthog,2024-Q3,joethreepwood,2
PostHog/posthog,2024-Q3,Elvis339,1
PostHog/posthog,2024-Q3,AtiX,1
PostHog/posthog,2024-Q3,ctrl-alter-ego,3
PostHog/posthog,2024-Q3,bretthoerner,24
PostHog/posthog,2024-Q3,ghoti143,2
PostHog/posthog,2024-Q3,namit-chandwani,1
PostHog/posthog,2024-Q3,dependabot[bot],3
PostHog/posthog,2024-Q3,danielxnj,2
PostHog/posthog,2024-Q3,slshults,1
PostHog/posthog,2024-Q3,fuziontech,18
PostHog/posthog,2024-Q3,thmsobrmlr,52
PostHog/posthog,2024-Q3,Itsindigo,1
PostHog/posthog,2024-Q3,hirehamir,1
PostHog/posthog,2024-Q3,nikitaevg,3
