repo,quarter,author_login,commit_count
PostHog/posthog,2024-Q3,silentninja,1
PostHog/posthog,2024-Q3,thisames,1
PostHog/posthog,2024-Q3,annapowellsmith,1
PostHog/posthog,2024-Q3,hel-lo7,1
PostHog/posthog,2024-Q3,derek-li,1
PostHog/posthog,2024-Q3,jspizziri,1
PostHog/posthog,2024-Q3,tiina303,11
PostHog/posthog,2024-Q3,camerondeleone,1
PostHog/posthog,2024-Q3,sumtzehern,1
PostHog/posthog,2024-Q3,xvello,7
PostHog/posthog,2024-Q3,corywatilo,1
PostHog/posthog,2024-Q4,EDsCODE,43
PostHog/posthog,2024-Q4,Gilbert09,91
PostHog/posthog,2024-Q4,Daesgar,7
PostHog/posthog,2024-Q4,tomasfarias,64
PostHog/posthog,2024-Q4,raquelmsmith,31
PostHog/posthog,2024-Q4,patricio-posthog,6
PostHog/posthog,2024-Q4,benjackwhite,56
PostHog/posthog,2024-Q4,jurajmajerik,33
PostHog/posthog,2024-Q4,robbie-c,23
PostHog/posthog,2024-Q4,rafaeelaudibert,30
PostHog/posthog,2024-Q4,danielbachhuber,62
PostHog/posthog,2024-Q4,anirudhpillai,27
PostHog/posthog,2024-Q4,rossgray,19
PostHog/posthog,2024-Q4,adamleithp,11
PostHog/posthog,2024-Q4,mariusandra,50
PostHog/posthog,2024-Q4,lucasheriques,1
PostHog/posthog,2024-Q4,pauldambra,132
PostHog/posthog,2024-Q4,skoob13,40
PostHog/posthog,2024-Q4,Twixes,69
PostHog/posthog,2024-Q4,posthog-bot,58
PostHog/posthog,2024-Q4,thmsobrmlr,18
PostHog/posthog,2024-Q4,andehen,11
PostHog/posthog,2024-Q4,k11kirky,3
PostHog/posthog,2024-Q4,marandaneto,11
PostHog/posthog,2024-Q4,simfish85,1
PostHog/posthog,2024-Q4,dependabot[bot],2
PostHog/posthog,2024-Q4,zlwaterfield,41
PostHog/posthog,2024-Q4,joethreepwood,5
PostHog/posthog,2024-Q4,orian,2
PostHog/posthog,2024-Q4,dmarticus,21
PostHog/posthog,2024-Q4,havenbarnes,23
PostHog/posthog,2024-Q4,aspicer,34
PostHog/posthog,2024-Q4,oliverb123,56
PostHog/posthog,2024-Q4,tkaemming,14
PostHog/posthog,2024-Q4,MarconLP,39
PostHog/posthog,2024-Q4,daibhin,61
PostHog/posthog,2024-Q4,timgl,19
PostHog/posthog,2024-Q4,_name:Phani Raj,25
PostHog/posthog,2024-Q4,Timur2915,1
PostHog/posthog,2024-Q4,surbhi-posthog,11
PostHog/posthog,2024-Q4,corywatilo,1
PostHog/posthog,2024-Q4,lcswillems,1
PostHog/posthog,2024-Q4,Aashw1n,4
PostHog/posthog,2024-Q4,bciaraldi,1
PostHog/posthog,2024-Q4,bijanbwb,1
PostHog/posthog,2024-Q4,fuziontech,13
PostHog/posthog,2024-Q4,ivanagas,1
PostHog/posthog,2024-Q4,hirehamir,2
PostHog/posthog,2024-Q4,richard-better,5
PostHog/posthog,2024-Q4,charlescook-ph,1
PostHog/posthog,2024-Q4,neilkakkar,13
PostHog/posthog,2024-Q4,xu20160924,2
PostHog/posthog,2024-Q4,ioannisj,2
PostHog/posthog,2024-Q4,danielxnj,2
PostHog/posthog,2024-Q4,_name:Mike Haggerty,1
PostHog/posthog,2024-Q4,daniloc,2
PostHog/posthog,2024-Q4,bretthoerner,4
PostHog/posthog,2024-Q4,kyleyannelli,1
PostHog/posthog,2024-Q4,abhi12299,3
PostHog/posthog,2025-Q1,orian,50
PostHog/posthog,2025-Q1,danielbachhuber,117
PostHog/posthog,2025-Q1,eli-r-ph,27
PostHog/posthog,2025-Q1,posthog-bot,68
PostHog/posthog,2025-Q1,andehen,35
PostHog/posthog,2025-Q1,hoppybunny,1
PostHog/posthog,2025-Q1,zlwaterfield,78
PostHog/posthog,2025-Q1,hpouillot,20
PostHog/posthog,2025-Q1,phixMe,43
PostHog/posthog,2025-Q1,MarconLP,32
PostHog/posthog,2025-Q1,Twixes,63
PostHog/posthog,2025-Q1,pl,54
PostHog/posthog,2025-Q1,adamleithp,50
PostHog/posthog,2025-Q1,EDsCODE,91
PostHog/posthog,2025-Q1,mariusandra,62
PostHog/posthog,2025-Q1,joshsny,72
PostHog/posthog,2025-Q1,frankh,15
PostHog/posthog,2025-Q1,tomasfarias,68
PostHog/posthog,2025-Q1,thmsobrmlr,45
PostHog/posthog,2025-Q1,daibhin,86
PostHog/posthog,2025-Q1,pauldambra,181
PostHog/posthog,2025-Q1,oliverb123,100
PostHog/posthog,2025-Q1,rafaeelaudibert,82
PostHog/posthog,2025-Q1,veryayskiy,42
PostHog/posthog,2025-Q1,rodrigoi,7
PostHog/posthog,2025-Q1,Gilbert09,143
PostHog/posthog,2025-Q1,lricoy,14
PostHog/posthog,2025-Q1,marandaneto,14
PostHog/posthog,2025-Q1,robbie-c,58
PostHog/posthog,2025-Q1,dmarticus,33
PostHog/posthog,2025-Q1,havenbarnes,38
PostHog/posthog,2025-Q1,k11kirky,38
PostHog/posthog,2025-Q1,Daesgar,31
PostHog/posthog,2025-Q1,tkaemming,31
PostHog/posthog,2025-Q1,aspicer,29
PostHog/posthog,2025-Q1,meikelmosby,62
PostHog/posthog,2025-Q1,lucasheriques,70
PostHog/posthog,2025-Q1,pawel-cebula,8
PostHog/posthog,2025-Q1,slshults,6
PostHog/posthog,2025-Q1,HamedMP,16
PostHog/posthog,2025-Q1,skoob13,53
PostHog/posthog,2025-Q1,rossgray,42
PostHog/posthog,2025-Q1,anirudhpillai,26
PostHog/posthog,2025-Q1,kappa90,1
PostHog/posthog,2025-Q1,patricio-posthog,13
PostHog/posthog,2025-Q1,timgl,45
PostHog/posthog,2025-Q1,sortafreel,1
PostHog/posthog,2025-Q1,aviramha,1
PostHog/posthog,2025-Q1,darkopia,4
PostHog/posthog,2025-Q1,haacked,20
PostHog/posthog,2025-Q1,danielxnj,4
PostHog/posthog,2025-Q1,benjackwhite,151
PostHog/posthog,2025-Q1,dependabot[bot],1
PostHog/posthog,2025-Q1,ordehi,1
PostHog/posthog,2025-Q1,jurajmajerik,38
PostHog/posthog,2025-Q1,Sriram-bk,11
PostHog/posthog,2025-Q1,abigailbramble,2
PostHog/posthog,2025-Q1,fuziontech,33
PostHog/posthog,2025-Q1,raquelmsmith,8
PostHog/posthog,2025-Q1,spaceemotion,1
PostHog/posthog,2025-Q1,Yiidiir,1
PostHog/posthog,2025-Q1,ivanagas,2
PostHog/posthog,2025-Q1,JacobLynch,1
PostHog/posthog,2025-Q1,cosmeoes,1
PostHog/posthog,2025-Q1,ioannisj,1
PostHog/posthog,2025-Q1,namit-chandwani,1
PostHog/posthog,2025-Q1,neilkakkar,3
PostHog/posthog,2025-Q1,luke-belton,1
PostHog/posthog,2025-Q1,nermalcat69,1
PostHog/posthog,2025-Q1,surbhi-posthog,6
PostHog/posthog,2025-Q1,kevin-secrist,1
PostHog/posthog,2025-Q1,mhornbacher,1
PostHog/posthog,2025-Q1,_name:Phani Raj,1
PostHog/posthog,2025-Q1,xu20160924,1
PostHog/posthog,2025-Q1,MatteoGauthier,1
PostHog/posthog,2025-Q1,daniloc,3
PostHog/posthog,2025-Q1,ayyjohn,1
PostHog/posthog,2025-Q2,nickbest-ph,27
PostHog/posthog,2025-Q2,naumaanh,3
PostHog/posthog,2025-Q2,robbie-c,39
PostHog/posthog,2025-Q2,haacked,44
PostHog/posthog,2025-Q2,posthog-bot,58
PostHog/posthog,2025-Q2,jabahamondes,29
PostHog/posthog,2025-Q2,nickatrecon,1
PostHog/posthog,2025-Q2,bciaraldi,1
PostHog/posthog,2025-Q2,jose-sequeira,44
PostHog/posthog,2025-Q2,pauldambra,162
PostHog/posthog,2025-Q2,veryayskiy,45
PostHog/posthog,2025-Q2,joshsny,74
PostHog/posthog,2025-Q2,EDsCODE,69
PostHog/posthog,2025-Q2,phixMe,39
PostHog/posthog,2025-Q2,Gilbert09,133
PostHog/posthog,2025-Q2,havenbarnes,28
PostHog/posthog,2025-Q2,joethreepwood,8
PostHog/posthog,2025-Q2,slshults,8
PostHog/posthog,2025-Q2,MarconLP,40
PostHog/posthog,2025-Q2,rodrigoi,41
PostHog/posthog,2025-Q2,Twixes,47
PostHog/posthog,2025-Q2,hirehamir,2
PostHog/posthog,2025-Q2,benjackwhite,111
PostHog/posthog,2025-Q2,daibhin,79
PostHog/posthog,2025-Q2,MichaelKutsch-ph,4
PostHog/posthog,2025-Q2,lshaowei18,4
PostHog/posthog,2025-Q2,mariusandra,119
PostHog/posthog,2025-Q2,aspicer,34
PostHog/posthog,2025-Q2,rafaeelaudibert,70
PostHog/posthog,2025-Q2,dmarticus,60
PostHog/posthog,2025-Q2,annaszell,1
PostHog/posthog,2025-Q2,rossgray,43
PostHog/posthog,2025-Q2,tomasfarias,55
PostHog/posthog,2025-Q2,pawel-cebula,32
PostHog/posthog,2025-Q2,timgl,29
PostHog/posthog,2025-Q2,adamleithp,90
PostHog/posthog,2025-Q2,orian,45
PostHog/posthog,2025-Q2,andyzzhao,21
PostHog/posthog,2025-Q2,eli-r-ph,65
PostHog/posthog,2025-Q2,k11kirky,23
PostHog/posthog,2025-Q2,rangoo94,1
PostHog/posthog,2025-Q2,yasen-posthog,18
PostHog/posthog,2025-Q2,andehen,50
PostHog/posthog,2025-Q2,pl,40
PostHog/posthog,2025-Q2,lricoy,81
PostHog/posthog,2025-Q2,nima-karimi,3
PostHog/posthog,2025-Q2,kappa90,19
PostHog/posthog,2025-Q2,oliverb123,73
PostHog/posthog,2025-Q2,anirudhpillai,29
PostHog/posthog,2025-Q2,frankh,43
PostHog/posthog,2025-Q2,arthurdedeus,2
PostHog/posthog,2025-Q2,edwinyjlim,5
PostHog/posthog,2025-Q2,chaitanyya,1
PostHog/posthog,2025-Q2,zlwaterfield,56
PostHog/posthog,2025-Q2,sortafreel,22
PostHog/posthog,2025-Q2,hpouillot,47
PostHog/posthog,2025-Q2,thmsobrmlr,50
PostHog/posthog,2025-Q2,jurajmajerik,32
PostHog/posthog,2025-Q2,lucasheriques,61
PostHog/posthog,2025-Q2,ordehi,11
PostHog/posthog,2025-Q2,luke-belton,9
PostHog/posthog,2025-Q2,dependabot[bot],4
PostHog/posthog,2025-Q2,mcharawi,2
PostHog/posthog,2025-Q2,marandaneto,4
PostHog/posthog,2025-Q2,skoob13,23
PostHog/posthog,2025-Q2,daniloc,1
PostHog/posthog,2025-Q2,meikelmosby,40
PostHog/posthog,2025-Q2,patricio-posthog,4
PostHog/posthog,2025-Q2,abheek9,1
PostHog/posthog,2025-Q2,fuziontech,11
PostHog/posthog,2025-Q2,austinkelleher,1
PostHog/posthog,2025-Q2,tkaemming,16
PostHog/posthog,2025-Q2,raquelmsmith,6
PostHog/posthog,2025-Q2,sevilgurkan,1
PostHog/posthog,2025-Q2,ivanagas,3
PostHog/posthog,2025-Q2,gewenyu99,2
PostHog/posthog,2025-Q2,Daesgar,21
PostHog/posthog,2025-Q2,ioannisj,2
PostHog/posthog,2025-Q2,jamestalmage,2
PostHog/posthog,2025-Q2,abigailbramble,1
PostHog/posthog,2025-Q2,movy,1
PostHog/posthog,2025-Q2,mcampa,1
PostHog/posthog,2025-Q2,moon0326,2
PostHog/posthog,2025-Q2,hoppybunny,5
PostHog/posthog,2025-Q2,camerondeleone,1
PostHog/posthog,2025-Q2,0xHericles,2
PostHog/posthog,2025-Q2,danielbachhuber,32
PostHog/posthog,2025-Q2,Sriram-bk,1
PostHog/posthog,2025-Q2,adasq,1
PostHog/posthog,2025-Q3,lshaowei18,59
PostHog/posthog,2025-Q3,eli-r-ph,59
PostHog/posthog,2025-Q3,robbie-c,45
PostHog/posthog,2025-Q3,TueHaulund,25
PostHog/posthog,2025-Q3,sakce,13
PostHog/posthog,2025-Q3,orian,58
PostHog/posthog,2025-Q3,pauldambra,185
PostHog/posthog,2025-Q3,zlwaterfield,64
PostHog/posthog,2025-Q3,joshsny,44
PostHog/posthog,2025-Q3,hpouillot,40
PostHog/posthog,2025-Q3,rodrigoi,33
PostHog/posthog,2025-Q3,rafaeelaudibert,93
PostHog/posthog,2025-Q3,arthurdedeus,54
PostHog/posthog,2025-Q3,dmarticus,28
PostHog/posthog,2025-Q3,veryayskiy,59
PostHog/posthog,2025-Q3,mariusandra,85
PostHog/posthog,2025-Q3,andehen,68
PostHog/posthog,2025-Q3,posthog-bot,41
PostHog/posthog,2025-Q3,benjackwhite,140
PostHog/posthog,2025-Q3,tomasfarias,67
PostHog/posthog,2025-Q3,fuziontech,24
PostHog/posthog,2025-Q3,webjunkie,7
PostHog/posthog,2025-Q3,Radu-Raicea,30
PostHog/posthog,2025-Q3,pl,47
PostHog/posthog,2025-Q3,meikelmosby,88
PostHog/posthog,2025-Q3,Daesgar,30
PostHog/posthog,2025-Q3,dependabot[bot],4
PostHog/posthog,2025-Q3,ablaszkiewicz,10
PostHog/posthog,2025-Q3,yasen-posthog,55
PostHog/posthog,2025-Q3,aspicer,45
PostHog/posthog,2025-Q3,raquelmsmith,2
PostHog/posthog,2025-Q3,EDsCODE,56
PostHog/posthog,2025-Q3,haacked,57
PostHog/posthog,2025-Q3,havenbarnes,34
PostHog/posthog,2025-Q3,adamleithp,92
PostHog/posthog,2025-Q3,gustavohstrassburger,10
PostHog/posthog,2025-Q3,luke-belton,5
PostHog/posthog,2025-Q3,jurajmajerik,50
PostHog/posthog,2025-Q3,skoob13,55
