repo,quarter,size_bytes
Infisical/infisical,2023-Q1,30038073
Infisical/infisical,2023-Q2,44368207
Infisical/infisical,2023-Q3,86341965
Infisical/infisical,2023-Q4,207639203
Infisical/infisical,2024-Q1,285036188
Infisical/infisical,2024-Q2,308186287
Infisical/infisical,2024-Q3,353056696
Infisical/infisical,2024-Q4,397572498
Infisical/infisical,2025-Q1,480561403
Infisical/infisical,2025-Q2,564703467
Infisical/infisical,2025-Q3,890750688
Infisical/infisical,2025-Q4,1043502804
LedgerHQ/ledger-live,2023-Q1,311973216
LedgerHQ/ledger-live,2023-Q2,321204219
LedgerHQ/ledger-live,2023-Q3,315119423
LedgerHQ/ledger-live,2023-Q4,340803962
LedgerHQ/ledger-live,2024-Q1,330969706
LedgerHQ/ledger-live,2024-Q2,293425238
LedgerHQ/ledger-live,2024-Q3,264818674
LedgerHQ/ledger-live,2024-Q4,285288244
LedgerHQ/ledger-live,2025-Q1,281772836
LedgerHQ/ledger-live,2025-Q2,283881617
LedgerHQ/ledger-live,2025-Q3,282348921
LedgerHQ/ledger-live,2025-Q4,309938093
PostHog/posthog,2023-Q1,42054808
PostHog/posthog,2023-Q2,53424261
PostHog/posthog,2023-Q3,63961449
PostHog/posthog,2023-Q4,66810299
PostHog/posthog,2024-Q1,97538320
PostHog/posthog,2024-Q2,121047020
PostHog/posthog,2024-Q3,140215910
PostHog/posthog,2024-Q4,146369593
PostHog/posthog,2025-Q1,186128663
PostHog/posthog,2025-Q2,207969018
PostHog/posthog,2025-Q3,232117831
PostHog/posthog,2025-Q4,272878889
airbytehq/airbyte,2023-Q1,139530021
airbytehq/airbyte,2023-Q2,121903925
airbytehq/airbyte,2023-Q3,156485506
airbytehq/airbyte,2023-Q4,219549506
airbytehq/airbyte,2024-Q1,197329533
airbytehq/airbyte,2024-Q2,204390447
airbytehq/airbyte,2024-Q3,235490253
airbytehq/airbyte,2024-Q4,256247396
airbytehq/airbyte,2025-Q1,254807961
airbytehq/airbyte,2025-Q2,263318910
airbytehq/airbyte,2025-Q3,563103285
airbytehq/airbyte,2025-Q4,670287240
appwrite/appwrite,2023-Q1,103976319
appwrite/appwrite,2023-Q2,103030712
appwrite/appwrite,2023-Q3,106357853
appwrite/appwrite,2023-Q4,118920557
appwrite/appwrite,2024-Q1,125394049
appwrite/appwrite,2024-Q2,131956619
appwrite/appwrite,2024-Q3,132046516
appwrite/appwrite,2024-Q4,151285495
appwrite/appwrite,2025-Q1,151435941
appwrite/appwrite,2025-Q2,158351889
appwrite/appwrite,2025-Q3,179612654
appwrite/appwrite,2025-Q4,188959805
astral-sh/ruff,2023-Q1,3019240
astral-sh/ruff,2023-Q2,6813319
astral-sh/ruff,2023-Q3,9413960
astral-sh/ruff,2023-Q4,16447155
astral-sh/ruff,2024-Q1,19415739
astral-sh/ruff,2024-Q2,21211308
astral-sh/ruff,2024-Q3,26404423
astral-sh/ruff,2024-Q4,28058000
astral-sh/ruff,2025-Q1,30925772
astral-sh/ruff,2025-Q2,34615019
astral-sh/ruff,2025-Q3,40450097
astral-sh/ruff,2025-Q4,45980262
dagger/dagger,2023-Q1,9688646
dagger/dagger,2023-Q2,11644311
dagger/dagger,2023-Q3,395337
dagger/dagger,2023-Q4,27239069
dagger/dagger,2024-Q1,24465571
dagger/dagger,2024-Q2,30069459
dagger/dagger,2024-Q3,30292169
dagger/dagger,2024-Q4,60389932
dagger/dagger,2025-Q1,49362994
dagger/dagger,2025-Q2,72106529
dagger/dagger,2025-Q3,75040893
dagger/dagger,2025-Q4,80319181
inngest/inngest,2023-Q1,62011265
inngest/inngest,2023-Q2,100650867
inngest/inngest,2023-Q3,49084844
inngest/inngest,2023-Q4,169902881
inngest/inngest,2024-Q1,199725076
inngest/inngest,2024-Q2,200824471
inngest/inngest,2024-Q3,205921482
inngest/inngest,2024-Q4,204875749
inngest/inngest,2025-Q1,206480489
inngest/inngest,2025-Q2,216013450
inngest/inngest,2025-Q3,223083637
inngest/inngest,2025-Q4,251095660
milvus-io/milvus,2023-Q1,36912335
milvus-io/milvus,2023-Q2,38522498
milvus-io/milvus,2023-Q3,40673738
milvus-io/milvus,2023-Q4,43857902
milvus-io/milvus,2024-Q1,43169864
milvus-io/milvus,2024-Q2,46057691
milvus-io/milvus,2024-Q3,49674918
milvus-io/milvus,2024-Q4,52680345
milvus-io/milvus,2025-Q1,57166155
milvus-io/milvus,2025-Q2,62455421
milvus-io/milvus,2025-Q3,75531673
milvus-io/milvus,2025-Q4,80310885
qdrant/qdrant,2023-Q1,6800480
qdrant/qdrant,2023-Q2,8167372
qdrant/qdrant,2023-Q3,12360586
qdrant/qdrant,2023-Q4,13322161
qdrant/qdrant,2024-Q1,12740800
qdrant/qdrant,2024-Q2,13738230
qdrant/qdrant,2024-Q3,15472087
qdrant/qdrant,2024-Q4,17284066
qdrant/qdrant,2025-Q1,18857596
qdrant/qdrant,2025-Q2,20647539
qdrant/qdrant,2025-Q3,21564574
qdrant/qdrant,2025-Q4,24085461
triggerdotdev/trigger.dev,2023-Q1,1483319
triggerdotdev/trigger.dev,2023-Q2,49320658
triggerdotdev/trigger.dev,2023-Q3,4559906
