repo,quarter,size_bytes
triggerdotdev/trigger.dev,2023-Q4,17306347
triggerdotdev/trigger.dev,2024-Q1,22472682
triggerdotdev/trigger.dev,2024-Q2,25375020
triggerdotdev/trigger.dev,2024-Q3,37053728
triggerdotdev/trigger.dev,2024-Q4,20940270
triggerdotdev/trigger.dev,2025-Q1,25825524
triggerdotdev/trigger.dev,2025-Q2,28125892
triggerdotdev/trigger.dev,2025-Q3,30797186
triggerdotdev/trigger.dev,2025-Q4,35089224
tursodatabase/libsql,2023-Q1,280323
tursodatabase/libsql,2023-Q2,109531495
tursodatabase/libsql,2023-Q3,108871076
tursodatabase/libsql,2023-Q4,109855703
tursodatabase/libsql,2024-Q1,124475166
tursodatabase/libsql,2024-Q2,110599376
tursodatabase/libsql,2024-Q3,110798463
tursodatabase/libsql,2024-Q4,111136212
tursodatabase/libsql,2025-Q1,157845573
tursodatabase/libsql,2025-Q2,158098820
tursodatabase/libsql,2025-Q3,158127719
tursodatabase/libsql,2025-Q4,158147775
weaviate/weaviate,2023-Q1,9066565
weaviate/weaviate,2023-Q2,10676483
weaviate/weaviate,2023-Q3,11633132
weaviate/weaviate,2023-Q4,12643595
weaviate/weaviate,2024-Q1,13783078
weaviate/weaviate,2024-Q2,15284660
weaviate/weaviate,2024-Q3,17135105
weaviate/weaviate,2024-Q4,16966684
weaviate/weaviate,2025-Q1,20774624
weaviate/weaviate,2025-Q2,22958689
weaviate/weaviate,2025-Q3,25886726
weaviate/weaviate,2025-Q4,25827263
zed-industries/zed,2023-Q1,36803938
zed-industries/zed,2023-Q2,38909530
zed-industries/zed,2023-Q3,40275617
zed-industries/zed,2023-Q4,43362042
zed-industries/zed,2024-Q1,58420721
zed-industries/zed,2024-Q2,47276397
zed-industries/zed,2024-Q3,23128120
zed-industries/zed,2024-Q4,30813980
zed-industries/zed,2025-Q1,33388732
zed-industries/zed,2025-Q2,37285986
zed-industries/zed,2025-Q3,43652309
zed-industries/zed,2025-Q4,53112046
