repo,quarter,commits,is_active
maybe-finance/maybe,2024-Q3,180,1
maybe-finance/maybe,2024-Q4,259,1
maybe-finance/maybe,2025-Q1,234,1
maybe-finance/maybe,2025-Q2,271,1
maybe-finance/maybe,2025-Q3,44,1
maybe-finance/maybe,2025-Q4,0,0
qdrant/qdrant,2023-Q1,172,1
qdrant/qdrant,2023-Q2,312,1
qdrant/qdrant,2023-Q3,271,1
qdrant/qdrant,2023-Q4,348,1
qdrant/qdrant,2024-Q1,325,1
qdrant/qdrant,2024-Q2,472,1
qdrant/qdrant,2024-Q3,352,1
qdrant/qdrant,2024-Q4,331,1
qdrant/qdrant,2025-Q1,467,1
qdrant/qdrant,2025-Q2,206,1
qdrant/qdrant,2025-Q3,492,1
qdrant/qdrant,2025-Q4,331,1
tursodatabase/libsql,2023-Q1,1129,1
tursodatabase/libsql,2023-Q2,665,1
tursodatabase/libsql,2023-Q3,1495,1
tursodatabase/libsql,2023-Q4,1525,1
tursodatabase/libsql,2024-Q1,841,1
tursodatabase/libsql,2024-Q2,392,1
tursodatabase/libsql,2024-Q3,1143,1
tursodatabase/libsql,2024-Q4,307,1
tursodatabase/libsql,2025-Q1,138,1
tursodatabase/libsql,2025-Q2,93,1
tursodatabase/libsql,2025-Q3,95,1
tursodatabase/libsql,2025-Q4,56,1
inngest/inngest,2023-Q1,312,1
inngest/inngest,2023-Q2,211,1
inngest/inngest,2023-Q3,284,1
inngest/inngest,2023-Q4,427,1
inngest/inngest,2024-Q1,411,1
inngest/inngest,2024-Q2,247,1
inngest/inngest,2024-Q3,249,1
inngest/inngest,2024-Q4,190,1
inngest/inngest,2025-Q1,225,1
inngest/inngest,2025-Q2,297,1
inngest/inngest,2025-Q3,364,1
inngest/inngest,2025-Q4,345,1
milvus-io/milvus,2023-Q1,502,1
milvus-io/milvus,2023-Q2,602,1
milvus-io/milvus,2023-Q3,700,1
milvus-io/milvus,2023-Q4,646,1
milvus-io/milvus,2024-Q1,688,1
milvus-io/milvus,2024-Q2,733,1
milvus-io/milvus,2024-Q3,685,1
milvus-io/milvus,2024-Q4,704,1
milvus-io/milvus,2025-Q1,518,1
milvus-io/milvus,2025-Q2,554,1
milvus-io/milvus,2025-Q3,584,1
milvus-io/milvus,2025-Q4,572,1
oven-sh/bun,2023-Q1,999,1
oven-sh/bun,2023-Q2,883,1
oven-sh/bun,2023-Q3,1062,1
oven-sh/bun,2023-Q4,616,1
oven-sh/bun,2024-Q1,736,1
oven-sh/bun,2024-Q2,852,1
oven-sh/bun,2024-Q3,722,1
oven-sh/bun,2024-Q4,634,1
oven-sh/bun,2025-Q1,868,1
oven-sh/bun,2025-Q2,674,1
oven-sh/bun,2025-Q3,816,1
oven-sh/bun,2025-Q4,625,1
