repo,quarter,commits,is_active
Helicone/helicone,2023-Q1,206,1
Helicone/helicone,2023-Q2,269,1
Helicone/helicone,2023-Q3,293,1
Helicone/helicone,2023-Q4,281,1
Helicone/helicone,2024-Q1,385,1
Helicone/helicone,2024-Q2,592,1
Helicone/helicone,2024-Q3,588,1
Helicone/helicone,2024-Q4,424,1
Helicone/helicone,2025-Q1,496,1
Helicone/helicone,2025-Q2,519,1
Helicone/helicone,2025-Q3,782,1
Helicone/helicone,2025-Q4,459,1
hoppscotch/hoppscotch,2023-Q1,234,1
hoppscotch/hoppscotch,2023-Q2,158,1
hoppscotch/hoppscotch,2023-Q3,117,1
hoppscotch/hoppscotch,2023-Q4,145,1
hoppscotch/hoppscotch,2024-Q1,99,1
hoppscotch/hoppscotch,2024-Q2,83,1
hoppscotch/hoppscotch,2024-Q3,102,1
hoppscotch/hoppscotch,2024-Q4,110,1
hoppscotch/hoppscotch,2025-Q1,127,1
hoppscotch/hoppscotch,2025-Q2,122,1
hoppscotch/hoppscotch,2025-Q3,99,1
hoppscotch/hoppscotch,2025-Q4,108,1
chatwoot/chatwoot,2023-Q1,274,1
chatwoot/chatwoot,2023-Q2,308,1
chatwoot/chatwoot,2023-Q3,254,1
chatwoot/chatwoot,2023-Q4,229,1
chatwoot/chatwoot,2024-Q1,262,1
chatwoot/chatwoot,2024-Q2,212,1
chatwoot/chatwoot,2024-Q3,172,1
chatwoot/chatwoot,2024-Q4,204,1
chatwoot/chatwoot,2025-Q1,291,1
chatwoot/chatwoot,2025-Q2,271,1
chatwoot/chatwoot,2025-Q3,298,1
chatwoot/chatwoot,2025-Q4,214,1
formbricks/formbricks,2023-Q1,258,1
formbricks/formbricks,2023-Q2,383,1
formbricks/formbricks,2023-Q3,650,1
formbricks/formbricks,2023-Q4,772,1
formbricks/formbricks,2024-Q1,385,1
formbricks/formbricks,2024-Q2,368,1
formbricks/formbricks,2024-Q3,243,1
formbricks/formbricks,2024-Q4,309,1
formbricks/formbricks,2025-Q1,317,1
formbricks/formbricks,2025-Q2,348,1
formbricks/formbricks,2025-Q3,249,1
formbricks/formbricks,2025-Q4,197,1
documenso/documenso,2023-Q1,607,1
documenso/documenso,2023-Q2,253,1
documenso/documenso,2023-Q3,59,1
documenso/documenso,2023-Q4,809,1
documenso/documenso,2024-Q1,662,1
documenso/documenso,2024-Q2,336,1
documenso/documenso,2024-Q3,139,1
documenso/documenso,2024-Q4,179,1
documenso/documenso,2025-Q1,144,1
documenso/documenso,2025-Q2,99,1
documenso/documenso,2025-Q3,111,1
documenso/documenso,2025-Q4,212,1
maybe-finance/maybe,2023-Q1,0,0
maybe-finance/maybe,2023-Q2,0,0
maybe-finance/maybe,2023-Q3,0,0
maybe-finance/maybe,2023-Q4,0,0
maybe-finance/maybe,2024-Q1,239,1
maybe-finance/maybe,2024-Q2,192,1
