repo,marker_path,first_added_utc,first_added_quarter
dagger/dagger,AGENTS.md,2026-04-17,2026-Q2
triggerdotdev/trigger.dev,.github/copilot-instructions.md,2024-11-28,2024-Q4
triggerdotdev/trigger.dev,.cursor/rules/executing-commands.mdc,2025-03-10,2025-Q1
triggerdotdev/trigger.dev,.cursor/rules/repo.mdc,2025-03-10,2025-Q1
triggerdotdev/trigger.dev,.cursor/rules/webapp.mdc,2025-03-10,2025-Q1
triggerdotdev/trigger.dev,.cursor/rules/writing-tests.mdc,2025-03-10,2025-Q1
triggerdotdev/trigger.dev,.cursor/rules/writing-tasks.mdc,2025-03-11,2025-Q1
triggerdotdev/trigger.dev,.cursor/mcp.json,2025-03-11,2025-Q1
triggerdotdev/trigger.dev,AGENTS.md,2025-05-17,2025-Q2
triggerdotdev/trigger.dev,.cursor/commands/deslop.md,2025-12-04,2025-Q4
triggerdotdev/trigger.dev,.cursor/rules/migrations.mdc,2025-12-18,2025-Q4
triggerdotdev/trigger.dev,.cursor/rules/otel-metrics.mdc,2026-01-08,2026-Q1
triggerdotdev/trigger.dev,.claude/skills/trigger-dev-tasks/SKILL.md,2026-01-12,2026-Q1
triggerdotdev/trigger.dev,.claude/skills/trigger-dev-tasks/advanced-tasks.md,2026-01-12,2026-Q1
triggerdotdev/trigger.dev,.claude/skills/trigger-dev-tasks/basic-tasks.md,2026-01-12,2026-Q1
triggerdotdev/trigger.dev,.claude/skills/trigger-dev-tasks/config.md,2026-01-12,2026-Q1
triggerdotdev/trigger.dev,.claude/skills/trigger-dev-tasks/realtime.md,2026-01-12,2026-Q1
triggerdotdev/trigger.dev,.claude/skills/trigger-dev-tasks/scheduled-tasks.md,2026-01-12,2026-Q1
triggerdotdev/trigger.dev,CLAUDE.md,2026-01-12,2026-Q1
triggerdotdev/trigger.dev,.claude/rules/database-safety.md,2026-03-02,2026-Q1
triggerdotdev/trigger.dev,.claude/rules/docs-writing.md,2026-03-02,2026-Q1
triggerdotdev/trigger.dev,.claude/rules/legacy-v3-code.md,2026-03-02,2026-Q1
triggerdotdev/trigger.dev,.claude/rules/sdk-packages.md,2026-03-02,2026-Q1
triggerdotdev/trigger.dev,.claude/rules/server-apps.md,2026-03-02,2026-Q1
triggerdotdev/trigger.dev,.claude/skills/span-timeline-events/SKILL.md,2026-03-29,2026-Q1
triggerdotdev/trigger.dev,.claude/REVIEW.md,2026-05-12,2026-Q2
triggerdotdev/trigger.dev,.claude/review-guides/chat-agent-sessions-row-agnostic.md,2026-05-14,2026-Q2
triggerdotdev/trigger.dev,.claude/rules/package-installation.md,2026-05-14,2026-Q2
triggerdotdev/trigger.dev,.claude/skills/errors-api-e2e/SKILL.md,2026-06-21,2026-Q2
triggerdotdev/trigger.dev,.claude/skills/drizzle/SKILL.md,2026-06-24,2026-Q2
appwrite/appwrite,AGENTS.md,2025-12-19,2025-Q4
appwrite/appwrite,.claude/skills/pr-workflow.md,2026-02-03,2026-Q1
appwrite/appwrite,CLAUDE.md,2026-03-06,2026-Q1
appwrite/appwrite,.claude/skills/patch-release-checklist/SKILL.md,2026-04-09,2026-Q2
airbytehq/airbyte,.claude/skills/my-prs/SKILL.md,2026-01-26,2026-Q1
airbytehq/airbyte,.claude/skills/my-prs/scripts/fetch-prs.sh,2026-01-26,2026-Q1
zed-industries/zed,.cursorrules,2025-04-17,2025-Q2
zed-industries/zed,.windsurfrules,2025-04-17,2025-Q2
zed-industries/zed,CLAUDE.md,2025-04-17,2025-Q2
zed-industries/zed,GEMINI.md,2025-10-02,2025-Q4
LedgerHQ/ledger-live,.cursorrules,2025-12-05,2025-Q4
LedgerHQ/ledger-live,.cursor/rules/git-workflow.mdc,2025-12-11,2025-Q4
LedgerHQ/ledger-live,.cursor/rules/ldls.mdc,2025-12-11,2025-Q4
LedgerHQ/ledger-live,.cursor/rules/react-general.mdc,2025-12-11,2025-Q4
LedgerHQ/ledger-live,.cursor/rules/react-new-arch.mdc,2025-12-11,2025-Q4
LedgerHQ/ledger-live,.cursor/rules/testing.mdc,2025-12-11,2025-Q4
LedgerHQ/ledger-live,.cursor/rules/typescript.mdc,2025-12-11,2025-Q4
LedgerHQ/ledger-live,.cursor/rules/client-ids.mdc,2025-12-16,2025-Q4
LedgerHQ/ledger-live,.cursor/commands/create-pr.md,2026-01-20,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/redux-slice.mdc,2026-01-26,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/rtk-query-api.mdc,2026-01-26,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/zod-schemas.mdc,2026-01-26,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/e2e/SKILL.md,2026-01-27,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/testing/SKILL.md,2026-01-28,2026-Q1
LedgerHQ/ledger-live,.cursor/agents/code-reviewer.md,2026-01-29,2026-Q1
LedgerHQ/ledger-live,.cursor/agents/test-runner.md,2026-01-29,2026-Q1
LedgerHQ/ledger-live,.cursor/commands/cleanup.md,2026-01-29,2026-Q1
LedgerHQ/ledger-live,.cursor/commands/pre-review.md,2026-01-29,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/cursor-rules.mdc,2026-02-10,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/ldls-native.mdc,2026-02-11,2026-Q1
LedgerHQ/ledger-live,.cursor/agents/code-architect.md,2026-02-12,2026-Q1
LedgerHQ/ledger-live,.cursor/agents/code-explorer.md,2026-02-12,2026-Q1
LedgerHQ/ledger-live,.cursor/commands/feature-dev.md,2026-02-12,2026-Q1
LedgerHQ/ledger-live,.github/copilot-instructions.md,2026-02-13,2026-Q1
LedgerHQ/ledger-live,.cursor/commands/commit.md,2026-02-19,2026-Q1
LedgerHQ/ledger-live,.cursor/agents/ci-watcher.md,2026-02-20,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/fix-ci/SKILL.md,2026-02-20,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/get-pr-comments/SKILL.md,2026-02-20,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/coin-families-contract.mdc,2026-02-20,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/dialogs-slice.mdc,2026-02-20,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/jest-mocks.mdc,2026-02-20,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/trial/README.md,2026-02-27,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/validation-before-finish.mdc,2026-03-04,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/rebuild-to-fix-lib-import-errors.mdc,2026-03-06,2026-Q1
LedgerHQ/ledger-live,.cursor/.gitignore,2026-03-10,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/create-changeset/SKILL.md,2026-03-10,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/slack-pr-message/SKILL.md,2026-03-10,2026-Q1
LedgerHQ/ledger-live,.cursor/commands/e2e-mobile-onboard.md,2026-03-10,2026-Q1
LedgerHQ/ledger-live,.cursor/commands/test-coverage.md,2026-03-11,2026-Q1
LedgerHQ/ledger-live,.cursor/commands/e2e-desktop-onboard.md,2026-03-11,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/domain-packages.mdc,2026-03-13,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/shared-packages.mdc,2026-03-13,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/team-split-convention.mdc,2026-03-13,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/run-tests/SKILL.md,2026-03-17,2026-Q1
LedgerHQ/ledger-live,.cursor/rules/common-commands.mdc,2026-03-30,2026-Q1
LedgerHQ/ledger-live,CLAUDE.md,2026-03-30,2026-Q1
LedgerHQ/ledger-live,.cursor/skills/e2e-swap/SKILL.md,2026-04-02,2026-Q2
LedgerHQ/ledger-live,.cursor/rules/prefer-set-has.mdc,2026-04-08,2026-Q2
LedgerHQ/ledger-live,.claude/skills/e2e-desktop-add-or-update/SKILL.md,2026-04-10,2026-Q2
LedgerHQ/ledger-live,.cursor/skills/e2e-desktop-add-or-update/SKILL.md,2026-04-10,2026-Q2
LedgerHQ/ledger-live,.claude/skills/ledger-wallet-cli/SKILL.md,2026-04-14,2026-Q2
LedgerHQ/ledger-live,.claude/README.md,2026-04-20,2026-Q2
LedgerHQ/ledger-live,AGENTS.md,2026-04-22,2026-Q2
LedgerHQ/ledger-live,.claude/skills,2026-04-24,2026-Q2
LedgerHQ/ledger-live,.claude/agents,2026-04-28,2026-Q2
LedgerHQ/ledger-live,.cursor/agents,2026-04-28,2026-Q2
weaviate/weaviate,.claude/scripts/monitor_docker.sh,2026-02-23,2026-Q1
weaviate/weaviate,.claude/scripts/monitor_pr.sh,2026-02-23,2026-Q1
weaviate/weaviate,.claude/settings.json,2026-02-23,2026-Q1
weaviate/weaviate,CLAUDE.md,2026-02-23,2026-Q1
astral-sh/ruff,CLAUDE.md,2026-01-04,2026-Q1
astral-sh/ruff,.claude/hooks/session-start-web.sh,2026-01-22,2026-Q1
astral-sh/ruff,.claude/hooks/session-start.sh,2026-01-22,2026-Q1
astral-sh/ruff,.claude/settings.json,2026-01-22,2026-Q1
astral-sh/ruff,AGENTS.md,2026-03-07,2026-Q1
inngest/inngest,.github/copilot-instructions.md,2025-10-24,2025-Q4
inngest/inngest,CLAUDE.md,2026-03-30,2026-Q1
inngest/inngest,AGENTS.md,2026-05-07,2026-Q2
milvus-io/milvus,CLAUDE.md,2026-02-25,2026-Q1
milvus-io/milvus,AGENTS.md,2026-05-18,2026-Q2
