repo,marker_path,first_added_utc,first_added_quarter
PostHog/posthog,CLAUDE.md,2025-02-25,2025-Q1
PostHog/posthog,.cursor/rules/django-python.mdc,2025-02-25,2025-Q1
PostHog/posthog,.cursor/rules/react-typescript.mdc,2025-02-25,2025-Q1
PostHog/posthog,.cursor/rules/rust.mdc,2025-02-25,2025-Q1
PostHog/posthog,.cursorrules,2025-02-25,2025-Q1
PostHog/posthog,.claude/agents/code-reviewer.md,2025-08-13,2025-Q3
PostHog/posthog,.claude/agents/prompt-engineer.md,2025-08-13,2025-Q3
PostHog/posthog,.claude/agents/systematic-debugger.md,2025-08-13,2025-Q3
PostHog/posthog,.claude/agents/test-writer.md,2025-08-13,2025-Q3
PostHog/posthog,.claude/agents/activity-log-expert.md,2025-08-15,2025-Q3
PostHog/posthog,.claude/agents/access-control.md,2025-09-10,2025-Q3
PostHog/posthog,AGENTS.md,2025-09-23,2025-Q3
PostHog/posthog,.claude/commands/conventions.md,2025-12-15,2025-Q4
PostHog/posthog,.claude/settings.json,2026-01-07,2026-Q1
PostHog/posthog,.claude/skills/implementing-agent-modes/SKILL.md,2026-01-19,2026-Q1
PostHog/posthog,.cursor/environment.json,2026-01-19,2026-Q1
PostHog/posthog,.claude/skills/survey-sdk-audit/SKILL.md,2026-01-27,2026-Q1
PostHog/posthog,.claude/skills/clickhouse-migrations/SKILL.md,2026-02-06,2026-Q1
PostHog/posthog,.claude/skills/setup-web-tests/SKILL.md,2026-02-06,2026-Q1
PostHog/posthog,.claude/hooks/format-on-save.sh,2026-02-09,2026-Q1
PostHog/posthog,.claude/hooks/setup-cloud.sh,2026-02-10,2026-Q1
PostHog/posthog,.claude/skills/hogli/SKILL.md,2026-02-11,2026-Q1
PostHog/posthog,.claude/agents/resource-duplication.md,2026-02-18,2026-Q1
PostHog/posthog,.claude/skills,2026-02-18,2026-Q1
PostHog/posthog,.claude/agents/ingestion/pipeline-composition-doctor.md,2026-02-24,2026-Q1
PostHog/posthog,.claude/agents/ingestion/pipeline-result-doctor.md,2026-02-24,2026-Q1
PostHog/posthog,.claude/agents/ingestion/pipeline-step-doctor.md,2026-02-24,2026-Q1
PostHog/posthog,.claude/agents/ingestion/pipeline-testing-doctor.md,2026-02-24,2026-Q1
PostHog/posthog,.claude/hooks/setup-flox.sh,2026-03-21,2026-Q1
PostHog/posthog,.claude/hooks/install-tool-versions.sh,2026-04-08,2026-Q2
PostHog/posthog,.claude/hooks/setup-code-signing.sh,2026-04-14,2026-Q2
PostHog/posthog,.claude/rules/clickhouse-migrations.md,2026-05-04,2026-Q2
PostHog/posthog,.claude/rules/django-migrations.md,2026-05-04,2026-Q2
PostHog/posthog,.claude/rules/drf-endpoints.md,2026-05-04,2026-Q2
PostHog/posthog,.claude/rules/generated-api-types.md,2026-05-04,2026-Q2
PostHog/posthog,.claude/rules/product-isolation.md,2026-05-04,2026-Q2
PostHog/posthog,.claude/rules/proto-changes.md,2026-05-04,2026-Q2
PostHog/posthog,.claude/rules/tach-boundaries.md,2026-05-04,2026-Q2
PostHog/posthog,.claude/rules/kea-disposables.md,2026-05-13,2026-Q2
PostHog/posthog,.claude/rules/storybook-feature-flags.md,2026-05-31,2026-Q2
PostHog/posthog,.claude/rules/writing-tests.md,2026-06-30,2026-Q2
PostHog/posthog,.claude/rules/semantic-line-breaks.md,2026-07-01,2026-Q3
Infisical/infisical,CLAUDE.md,2026-03-10,2026-Q1
Infisical/infisical,AGENTS.md,2026-06-19,2026-Q2
dagger/dagger,.claude/skills,2026-01-22,2026-Q1
