repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits,size_bytes,qidx,f_latency,f_refactor,f_churn,f_backlog,S_latency,S_refactor,S_churn,S_backlog,CQI,core_size,turnover_core,event_quarter
Infisical/infisical,migration,2023-Q1,1087,20,156,5,0,5,0.0321,0.4195,3.0886,109,77,32,44,,1,809,18,82024,34793,0.2978,47231,3549,34,0.042,0,30038073,0,0.4195,0.0321,0.0038889645151338435,,0.4195,0.0321,0.0038889645151338435,0.0,-0.5612401430314237,6,,2024-Q1
Infisical/infisical,migration,2023-Q2,715,34,128,2,0,2,0.0156,0.282,1.6838,78,41,37,20,0.8636,0,510,34,88531,55100,0.3836,33431,3400,10,0.0196,0,44368207,1,0.282,0.0156,0.003237250493354397,,0.663745,0.044811,0.006776208202126195,0.0,-0.4787692058587813,5,0.5,2024-Q1
Infisical/infisical,migration,2023-Q3,934,3,158,5,0,5,0.0316,0.269,1.4564,134,103,31,42,0.65,0,725,3,92582,62712,0.4038,29870,3813,16,0.0221,0,86341965,2,0.269,0.0316,0.0017985923762564356,0.3315508021390374,0.8730079500000001,0.07237800999999999,0.007964941840191274,0.3315508021390374,-0.46730474911478415,8,0.2,2024-Q1
Infisical/infisical,migration,2023-Q4,583,3,108,4,2,2,0.037,0.2557,1.8584,81,48,33,24,0.7857,0,434,3,49353,30041,0.3784,19312,2059,15,0.0346,0,207639203,3,0.2557,0.037,0.0003823651740755333,0.308411214953271,1.0501372345000002,0.1028639891,0.007630462248649593,0.6101224448997951,-0.439867351295945,5,0.5,2024-Q1
Infisical/infisical,migration,2024-Q1,1557,26,220,21,9,13,0.0955,0.0892,1.5502,94,49,45,25,0.6667,0,1300,26,150469,121903,0.4476,28566,7354,69,0.0531,0,285036188,4,0.0892,0.0955,0.0009555698941637544,0.44776119402985076,1.0448248833950002,0.189106230081,0.007899290540434884,1.0029726188886643,-0.3808887931148367,3,0.4,2024-Q1
Infisical/infisical,migration,2024-Q2,1733,4,296,44,2,44,0.1486,0.144,1.302,74,70,4,22,0.76,0,1347,23,85952,44829,0.3428,41123,4249,85,0.0631,0,308186287,5,0.144,0.1486,0.00042435697341718516,0.041343669250646,1.0947906438894501,0.32068666937371004,0.00761271136521293,0.9540487524393305,-0.08799130252755816,5,0.0,2024-Q1
Infisical/infisical,migration,2024-Q3,1604,6,318,15,3,14,0.0472,0.1814,1.2257,91,82,9,26,0.6818,0,1234,6,112269,46930,0.2948,65339,4880,83,0.0673,0,353056696,6,0.1814,0.0472,0.00045091624604111743,0.09399477806788512,1.1776594859393996,0.3390248691300762,0.007378483588384883,0.9621791427876759,-0.03160385793387008,6,0.0,2024-Q1
Infisical/infisical,migration,2024-Q4,1215,2,284,17,0,17,0.0599,0.3701,2.9533,68,72,-4,27,0.6923,1,918,1,105115,42252,0.2867,62863,4211,51,0.0556,0,397572498,7,0.3701,0.0599,0.00037066698713148914,-0.047058823529411764,1.4417701322048537,0.36841263090836934,0.007085087052561733,0.8285241964073733,0.13450757119103535,5,0.3333,2024-Q1
Infisical/infisical,migration,2025-Q1,1302,3,289,10,0,10,0.0346,0.1598,1.5984,64,45,19,22,0.7037,1,974,3,343245,276789,0.4464,66456,13386,58,0.0595,0,480561403,8,0.1598,0.0346,0.0012902284622304551,0.2324159021406728,1.4718108203064169,0.3698554941266161,0.007737657680061632,0.9863729208713825,0.09837167931794534,5,0.2,2024-Q1
Infisical/infisical,migration,2025-Q2,2090,0,420,10,0,10,0.0238,0.2121,1.8864,58,37,21,17,0.4545,1,1527,0,283980,98295,0.2571,185685,10788,41,0.0269,0,564703467,9,0.2121,0.0238,0.0006769482079344131,0.2828282828282828,1.5514478464788393,0.36036849965522066,0.0077182166967904985,1.1804276408212409,0.04385258966406652,6,0.0,2024-Q1
Infisical/infisical,migration,2025-Q3,1677,1,395,17,0,17,0.043,0.1882,1.9656,69,48,21,22,0.3529,1,1209,1,228010,139763,0.38,88247,9688,43,0.0356,0,890750688,10,0.1882,0.043,0.00041287983826962814,0.298932384341637,1.6000175402957437,0.3709353346862508,0.007436457032348982,1.3731215374889663,0.022735392021615217,5,0.1667,2024-Q1
Infisical/infisical,migration,2025-Q4,2446,1,361,13,0,13,0.036,0.7357,2.651,64,22,42,18,0.5455,1,1947,0,277766,147507,0.3469,130259,13512,111,0.057,0,1043502804,11,0.7357,0.036,0.0004075437060349289,0.6486486486486487,2.191715961669127,0.3735511545644882,0.007174719605472502,1.898189247763608,0.029231851354307684,7,0.4,2024-Q1
LedgerHQ/ledger-live,migration,2023-Q1,1056,10,494,15,0,15,0.0304,2.0004,7.2179,44,29,15,56,,0,817,36,1149015,665425,0.3667,483590,9342,24,0.0294,0,311973216,0,2.0004,0.0304,0.005816012102782567,,2.0004,0.0304,0.005816012102782567,0.0,-0.16292305623620057,23,,
LedgerHQ/ledger-live,migration,2023-Q2,945,97,447,7,0,7,0.0157,1.5874,7.0171,33,45,-12,57,0.3571,0,762,90,157818,566642,0.7822,-408824,9500,22,0.0289,0,321204219,1,1.5874,0.0157,0.00225544982645449,,3.4077640000000002,0.043364,0.007548020839986626,0.0,0.22084005050465272,23,0.3043,
LedgerHQ/ledger-live,migration,2023-Q3,1151,165,516,9,0,9,0.0174,0.9753,4.6654,18,19,-1,54,0.4211,0,844,146,513798,276406,0.3498,237392,6124,13,0.0154,1,315119423,2,0.9753,0.0174,0.0025076334314054643,-0.025974025974025976,4.07636524,0.05686124,0.009376332395793295,-0.025974025974025976,0.4234007754843121,19,0.5217,
LedgerHQ/ledger-live,migration,2023-Q4,1092,97,506,6,0,6,0.0119,1.9219,6.1761,20,16,4,50,0.3519,0,866,90,952063,1422938,0.5991,-470875,8133,20,0.0231,0,340803962,3,1.9219,0.0119,0.006968818631281053,0.12631578947368421,5.6313923684,0.0636437284,0.015501281111452951,0.10267942583732058,0.7866675822087374,18,0.3684,
LedgerHQ/ledger-live,migration,2024-Q1,1290,67,482,18,0,18,0.0373,1.8728,6.9699,12,12,0,53,0.3,0,1064,66,90538,50512,0.3581,40026,6068,87,0.0818,0,330969706,4,1.8728,0.0373,0.0004261719349021025,0.0,6.997367055244,0.095215792844,0.01453233774632429,0.09343827751196172,1.205468402480731,20,0.4444,
LedgerHQ/ledger-live,migration,2024-Q2,1190,92,474,15,0,15,0.0316,0.9563,5.6666,12,13,-1,52,0.3396,0,945,82,383546,260454,0.4044,123092,6736,60,0.0635,0,293425238,5,0.9563,0.0316,0.0021947669000442287,-0.04819277108433735,7.32390402027204,0.11824637148804001,0.015419194249199334,0.036836061451547816,1.3502087923589043,21,0.45,
LedgerHQ/ledger-live,migration,2024-Q3,1155,67,550,12,0,12,0.0218,0.8981,3.1723,16,16,0,57,0.25,0,913,57,422937,228685,0.3509,194252,6670,53,0.0581,0,264818674,6,0.8981,0.0218,0.00246063463032067,0.0,7.562852658447556,0.1294041980541164,0.016492101397092063,0.03352081592090851,1.4328117169922066,23,0.3333,
LedgerHQ/ledger-live,migration,2024-Q4,1470,112,593,11,0,11,0.0185,1.039,4.256,20,18,2,54,0.3158,0,1133,98,150878,310119,0.6727,-159241,5911,18,0.0159,0,285288244,7,1.039,0.0185,0.0016158990413919754,0.13333333333333333,7.9211959191872765,0.13625782022924593,0.016623711312745752,0.16383727582136007,1.5008078330757961,19,0.5217,
LedgerHQ/ledger-live,migration,2025-Q1,1663,271,674,10,0,10,0.0148,0.9679,4.8565,8,12,-4,71,0.2407,0,1164,257,230326,98293,0.2991,132033,6449,23,0.0198,0,281772836,8,0.9679,0.0148,0.0011662550750633747,-0.26666666666666666,8.176188286460421,0.1387946164086138,0.01629383236966201,-0.11757474566922899,1.6530213131862173,29,0.2632,
LedgerHQ/ledger-live,migration,2025-Q2,1777,289,619,22,0,22,0.0355,0.9699,4.4503,7,7,0,68,0.2817,0,1204,268,715263,453405,0.388,261858,7646,69,0.0573,0,283881617,9,0.9699,0.0355,0.004116744199044069,0.0,8.410231340678983,0.16180310093183856,0.0189441316554365,-0.10699301855899838,1.7510793488143153,31,0.5172,
LedgerHQ/ledger-live,migration,2025-Q3,2546,292,897,47,0,47,0.0524,0.7257,3.0078,18,12,6,72,0.1765,0,1646,275,893453,922494,0.508,-29041,9550,121,0.0735,0,282348921,10,0.7257,0.0524,0.006431570531838512,0.47058823529411764,8.379010520017875,0.1996408218479731,0.023670730338285727,0.3732245884054291,1.6716079182600745,30,0.2903,
