repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits,size_bytes,qidx,f_latency,f_refactor,f_churn,f_backlog,S_latency,S_refactor,S_churn,S_backlog,CQI,core_size,turnover_core,event_quarter
LedgerHQ/ledger-live,migration,2025-Q4,2721,269,1001,54,0,54,0.0539,0.7891,3.6671,9,22,-13,73,0.25,0,1680,258,215489,205927,0.4887,9562,13344,115,0.0685,8,309938093,11,0.7891,0.0539,0.0013596779793053704,-0.9811320754716981,8.413999573216266,0.23557314788165554,0.022900042587145383,-0.6414977000227576,2.046698736161445,32,0.4,
PostHog/posthog,full_rewrite,2023-Q1,965,3,984,66,0,66,0.0671,0.3597,1.8427,247,172,75,30,,0,956,3,134049,74590,0.3575,59459,5972,65,0.068,0,42054808,0,0.3597,0.0671,0.0049611212111585435,,0.3597,0.0671,0.0049611212111585435,0.0,-0.5081532023213687,13,,
PostHog/posthog,full_rewrite,2023-Q2,1031,1,1030,65,0,65,0.0631,0.3169,2.2872,161,129,32,28,0.3,1,1025,1,167420,87300,0.3427,80120,5660,60,0.0585,0,53424261,1,0.3169,0.0631,0.00476787128604362,,0.6442270000000001,0.12416100000000002,0.009282491588197895,0.0,-0.32878718080241703,10,0.4615,
PostHog/posthog,full_rewrite,2023-Q3,948,4,943,38,0,38,0.0403,0.608,2.8303,218,148,70,38,0.2857,1,947,1,90330,59669,0.3978,30661,4827,37,0.0391,0,63961449,2,0.608,0.0403,0.002345146996278962,0.3431372549019608,1.1942465700000002,0.15328651000000004,0.010792214341539047,0.3431372549019608,-0.23072836091562937,12,0.2,
PostHog/posthog,full_rewrite,2023-Q4,1499,4,1369,39,0,39,0.0285,0.3733,1.83,291,224,67,53,0.3158,0,1479,3,268036,136274,0.3371,131762,10920,63,0.0426,0,66810299,3,0.3733,0.0285,0.006051611892950816,0.3210862619808307,1.4600643787000003,0.16799072410000004,0.01587252694375135,0.633341163941615,-0.2266684157610896,16,0.0833,
PostHog/posthog,full_rewrite,2024-Q1,1251,22,1215,54,0,54,0.0444,0.3964,2.0106,280,369,-89,40,0.434,0,1249,22,212082,127015,0.3746,85067,7022,62,0.0496,0,97538320,4,0.3964,0.0444,0.0034765515748067014,-0.3882224645583424,1.7250585846170003,0.19727155893100004,0.01792055109362043,0.1881179946285273,0.024398918359120392,16,0.125,
PostHog/posthog,full_rewrite,2024-Q2,1446,11,1459,76,0,76,0.0521,0.4325,2.0203,373,484,-111,53,0.225,0,1386,10,278591,178211,0.3901,100380,8658,71,0.0512,0,121047020,5,0.4325,0.0521,0.0037737566773638873,-0.4673684210526316,2.0023033120014704,0.23161711862721004,0.020081458172558478,-0.29618104594067174,0.2998449729613952,19,0.1875,
PostHog/posthog,full_rewrite,2024-Q3,1371,3,1387,74,0,74,0.0534,0.4639,1.8973,333,268,65,57,0.3396,0,1370,2,207221,102491,0.3309,104730,7781,71,0.0518,0,140215910,6,0.4639,0.0534,0.0022088220944399247,0.22375215146299485,2.2859960139213378,0.2641715779507612,0.02048294903146814,-0.04577260034301642,0.3654157365094681,18,0.2105,
PostHog/posthog,full_rewrite,2024-Q4,1309,2,1318,56,0,56,0.0425,0.5439,1.8468,343,242,101,58,0.386,0,1308,1,211000,98755,0.3188,112245,6839,56,0.0428,1,146369593,7,0.5439,0.0425,0.002116252383102548,0.3163664839467502,2.624156372668417,0.2828961359351927,0.020755736001738558,0.2747134176346053,0.3971550984110717,21,0.2778,
PostHog/posthog,full_rewrite,2025-Q1,2562,1,2584,135,0,135,0.0522,0.3144,1.6108,418,285,133,76,0.2586,0,2558,0,423379,193447,0.3136,229932,14416,133,0.052,0,186128663,8,0.3144,0.0522,0.0033139764185594564,0.400300978179082,2.7023822991282596,0.3096354837010254,0.022201696180141544,0.6502901882265728,0.3601346591168325,29,0.2381,
PostHog/posthog,full_rewrite,2025-Q2,2667,4,2695,133,1,133,0.0494,0.2073,1.456,615,337,278,88,0.2368,0,2662,4,435356,209535,0.3249,225821,14253,128,0.0481,6,207969018,9,0.2073,0.0494,0.003100899384926653,0.7580095432856169,2.6664678922067164,0.33116829016793314,0.023304442908855458,1.3497736145717982,0.19078670426105554,34,0.1724,
PostHog/posthog,full_rewrite,2025-Q3,3204,4,3239,178,0,178,0.055,0.4055,1.8794,636,375,261,106,0.2273,0,3202,4,741296,346514,0.3185,394782,24038,175,0.0547,26,232117831,10,0.4055,0.055,0.004686455992258518,0.6108835576360445,2.831985781908112,0.35636314405281916,0.025893499039316984,1.839177546896381,0.13797347718694497,40,0.2059,
PostHog/posthog,full_rewrite,2025-Q4,3788,1,3847,257,1,256,0.0668,0.4516,2.4737,654,386,268,122,0.2358,0,3786,1,909218,358419,0.2827,550799,24122,256,0.0676,174,272878889,11,0.4516,0.0668,0.004645419822124825,0.532803180914513,3.028707061536382,0.39109046108806544,0.02820850394790328,2.2064547485902195,0.1481017816701134,47,0.25,
airbytehq/airbyte,migration,2023-Q1,1401,1,1409,39,0,39,0.0277,1.7845,6.9987,1370,1341,29,162,,0,1395,1,304712,418405,0.5786,-113693,22179,32,0.0229,0,139530021,0,1.7845,0.0277,0.005182519108199661,,1.7845,0.0277,0.005182519108199661,0.0,-0.22248588577527018,46,,
airbytehq/airbyte,migration,2023-Q2,1126,0,1098,66,9,58,0.0601,0.786,4.2741,1241,1265,-24,146,0.6111,0,1122,0,253490,197516,0.4379,55974,9648,53,0.0472,0,121903925,1,0.786,0.0601,0.003699683992947725,,2.409895,0.085307,0.008415776381409416,0.0,0.047645794757803395,31,0.4783,
airbytehq/airbyte,migration,2023-Q3,1133,0,1115,94,12,83,0.0843,0.9294,4.4526,1139,1051,88,117,0.5685,0,1122,0,288637,218611,0.431,70026,13627,79,0.0704,0,156485506,2,0.9294,0.0843,0.003241501484488921,0.0674071237073918,3.1224044500000003,0.16192937000000002,0.01089985799157149,0.0674071237073918,0.3605997841132197,32,0.2581,
airbytehq/airbyte,migration,2023-Q4,1080,0,1036,77,31,68,0.0743,1.0241,5.0976,797,1048,-251,108,0.5128,0,1080,0,153781,113974,0.4257,39807,9912,68,0.063,0,219549506,3,1.0241,0.0743,0.001219565486063995,-0.2008,3.8654880495000006,0.22165572670000003,0.011138436258394053,-0.13945951742627347,0.7308050521999326,31,0.2812,
airbytehq/airbyte,migration,2024-Q1,1167,6,1117,104,58,98,0.0931,0.9493,4.6172,459,795,-336,99,0.5185,0,1164,2,272606,277930,0.5048,-5324,12775,95,0.0816,0,197329533,4,0.9493,0.0931,0.0027899321081350757,-0.29557950296899055,4.466894125045,0.29480671129700003,0.012925909103273663,-0.4224876638268994,1.1105257002564035,25,0.3226,
airbytehq/airbyte,migration,2024-Q2,2196,3,2082,113,29,110,0.0543,0.9973,5.2484,349,562,-213,118,0.4141,0,2194,0,405020,271181,0.401,133839,16448,108,0.0492,0,204390447,5,0.9973,0.0543,0.0033083786934523414,-0.23432343234323433,5.06217365379095,0.32257410728027003,0.015070955977431376,-0.6187872064257127,1.371442793891272,19,0.44,
airbytehq/airbyte,migration,2024-Q3,4270,1,4152,219,3,217,0.0527,0.4122,0.4923,495,433,62,119,0.5508,0,4264,1,961226,292922,0.2336,668304,18862,217,0.0509,0,235490253,6,0.4122,0.0527,0.005325689636929474,0.09037900874635568,5.018778024949765,0.3462424376250457,0.019040259576392028,-0.47271734910104296,1.3579774704417602,6,0.7368,
airbytehq/airbyte,migration,2024-Q4,3486,16,3480,97,30,68,0.0279,0.2199,0.9756,437,560,-123,95,0.6218,0,3484,9,642943,307045,0.3232,335898,14358,68,0.0195,0,256247396,7,0.2199,0.0279,0.0037073079173846513,-0.2342857142857143,4.786988002704287,0.34298061823879156,0.0210339441319014,-0.6644585019676634,1.3430804693422682,4,0.6667,
airbytehq/airbyte,migration,2025-Q1,5294,57,5398,98,36,64,0.0182,0.2235,0.3331,299,311,-12,126,0.4737,0,5289,57,371236,310921,0.4558,60315,16147,60,0.0113,2,254807961,8,0.2235,0.0182,0.002677141629809596,-0.027586206896551724,4.579659082460901,0.33031236259730035,0.02181803078983987,-0.6322434436871254,1.2534697436554882,1,0.75,
airbytehq/airbyte,migration,2025-Q2,4602,54,4740,70,1,69,0.0148,0.2745,2.8373,197,175,22,94,0.5794,0,4599,54,336330,158831,0.3208,177499,13689,61,0.0133,15,263318910,9,0.2745,0.0148,0.0018804612247559432,0.05569620253164557,4.44198976503942,0.3153842499635433,0.021734869243510226,-0.5196453312236385,1.155791518968802,1,0.0,
airbytehq/airbyte,migration,2025-Q3,3219,534,3848,68,0,68,0.0177,0.0649,0.3083,205,197,8,86,0.5,0,3219,533,204490,294162,0.5899,-89672,9916,66,0.0205,17,563103285,10,0.0649,0.0177,0.0008855426940015099,0.022408963585434174,4.107110686185872,0.3046996674668244,0.020664273705595815,-0.45046828782807696,1.0305662598261252,1,0.0,
airbytehq/airbyte,migration,2025-Q4,411,2662,3135,25,0,25,0.008,0.1001,0.4132,156,245,-89,50,0.593,0,411,2662,128393,43628,0.2536,84765,3348,19,0.0462,88,670287240,11,0.1001,0.008,0.0002566377363829871,-0.31282952548330406,3.8375707244291437,0.28527669739481026,0.019061126808475177,-0.722755667406854,1.0038429254663856,16,0.0,
appwrite/appwrite,full_rewrite,2023-Q1,758,0,96,4,0,4,0.0417,6.2013,33.8829,173,244,-71,23,,0,564,0,19190,12130,0.3873,7060,1698,14,0.0248,0,103976319,0,6.2013,0.0417,0.00030122243508158813,,6.2013,0.0417,0.00030122243508158813,0.0,0.9489356810684502,7,,
appwrite/appwrite,full_rewrite,2023-Q2,805,0,135,7,0,7,0.0519,0.4537,5.1019,218,128,90,24,0.5217,1,607,0,649711,22335,0.0332,627376,34608,25,0.0412,0,103030712,1,0.4537,0.0519,0.006522773520190757,,6.096883,0.08984700000000001,0.006796885936115002,0.0,1.006123928112912,7,0.1429,
appwrite/appwrite,full_rewrite,2023-Q3,1425,0,219,15,0,15,0.0685,0.8842,5.9865,275,419,-144,29,0.3333,1,957,0,171080,50280,0.2271,120800,10095,43,0.0449,0,106357853,2,0.8842,0.0685,0.002081275559407917,-0.7365728900255755,6.43236353,0.15026077000000002,0.008266441761272569,-0.7365728900255755,1.4231076527940707,9,0.2857,
appwrite/appwrite,full_rewrite,2023-Q4,1201,0,188,11,0,11,0.0585,0.2117,1.8944,350,240,110,29,0.2759,1,811,0,94356,116407,0.5523,-22051,2524,33,0.0407,0,118920557,3,0.2117,0.0585,0.0017723008142318069,0.4954954954954955,6.065150812300001,0.1952373007,0.009294762816989844,-0.17478583442777823,1.2558253353539328,11,0.2222,
appwrite/appwrite,full_rewrite,2024-Q1,1635,0,267,19,0,19,0.0712,0.6264,4.438,152,193,-41,25,0.4138,0,1073,0,153019,75974,0.3318,77045,17055,36,0.0336,0,125394049,4,0.6264,0.0712,0.0018261871422622297,-0.16141732283464566,6.145687239193001,0.248865943637,0.010284421305722987,-0.32047243216392385,1.4245984445261612,8,0.3636,
appwrite/appwrite,full_rewrite,2024-Q2,1122,0,194,15,0,15,0.0773,0.902,6.4262,146,158,-12,27,0.36,0,717,0,73669,17341,0.1905,56328,1949,35,0.0488,0,131956619,5,0.902,0.0773,0.0006896963614989257,-0.04824120603015075,6.494575387665631,0.30376800870966997,0.010048519749706844,-0.33987111929932146,1.6309252860671783,10,0.25,
appwrite/appwrite,full_rewrite,2024-Q3,1255,0,190,8,0,8,0.0421,0.909,5.7372,140,86,54,20,0.3704,0,817,0,493662,105926,0.1767,387736,22761,43,0.0526,0,132046516,6,0.909,0.0421,0.004540733206470968,0.23401950162513543,6.819063602775724,0.3185288879257997,0.013684886178704198,-0.07526321693724711,1.66044179588468,8,0.3,
appwrite/appwrite,full_rewrite,2024-Q4,1151,0,170,9,0,9,0.0529,0.4567,3.99,154,170,-16,20,0.25,1,779,0,1314866,56321,0.0411,1258545,56304,32,0.0411,0,151285495,7,0.4567,0.0529,0.009063572155413842,-0.08121827411167512,6.662047878525909,0.34276128801247774,0.021516818578034662,-0.14970780152456997,1.6746199271144788,8,0.25,
appwrite/appwrite,full_rewrite,2025-Q1,1802,0,223,7,0,7,0.0314,0.5473,4.1641,131,108,23,18,0.2,1,1261,0,365966,206855,0.3611,159111,5040,40,0.0317,0,151435941,8,0.5473,0.0314,0.0037825961011461605,0.1554054054054054,6.609763569458577,0.34331277209135475,0.023362901007157703,0.01917130601804673,1.6099732460801017,8,0.25,
appwrite/appwrite,full_rewrite,2025-Q2,1792,0,275,15,0,15,0.0545,0.1418,2.6117,111,83,28,20,0.1667,1,1196,0,952529,180140,0.159,772389,29338,41,0.0343,0,158351889,9,0.1418,0.0545,0.007152860677273007,0.19614711033274956,6.1566848482073055,0.36691462260313285,0.028413100593786517,0.2135929988091721,1.4751494048300144,6,0.625,
appwrite/appwrite,full_rewrite,2025-Q3,1615,0,244,13,0,13,0.0533,0.1518,1.2146,126,119,7,28,0.15,1,1078,3,408471,450817,0.5246,-42346,18816,55,0.051,2,179612654,10,0.1518,0.0533,0.004784117270490307,0.05223880597014925,5.754383211868648,0.3871923065688509,0.03064003881083604,0.24660843488649586,1.3988181314755535,7,0.0,
appwrite/appwrite,full_rewrite,2025-Q4,1667,0,254,20,0,20,0.0787,0.1931,2.9034,103,66,37,25,0.2857,1,1026,19,338252,216687,0.3905,121565,8861,88,0.0858,4,188959805,11,0.1931,0.0787,0.0029368097622666364,0.2835249042145594,5.42958872280047,0.4310449989776543,0.030819245080127435,0.5079385799612707,1.328352836396704,9,0.2857,
astral-sh/ruff,full_rewrite,2023-Q1,1585,0,1297,62,4,58,0.0478,0.0187,0.2359,924,770,154,122,,0,1573,0,212483,125319,0.371,87164,14297,128,0.0814,0,3019240,0,0.0187,0.0478,0.11188312290510194,,0.0187,0.0478,0.11188312290510194,0.0,-0.8508424151388247,10,,
astral-sh/ruff,full_rewrite,2023-Q2,931,1,932,40,6,35,0.0429,0.1002,0.8766,549,479,70,81,0.8197,0,929,0,136052,78444,0.3657,57608,8253,35,0.0377,0,6813319,1,0.1002,0.0429,0.0314818666203652,,0.117217,0.086398,0.13329550846400795,0.0,-0.7910154982820712,8,0.7,
astral-sh/ruff,full_rewrite,2023-Q3,1218,38,1281,46,6,40,0.0359,0.0968,0.8869,856,657,199,72,0.7901,0,1213,37,323137,174094,0.3501,149043,10500,39,0.0322,0,9413960,2,0.0968,0.0359,0.05281847384097659,0.2701968771215207,0.20346746999999998,0.11452218,0.17411738654322384,0.2701968771215207,-0.87249338662323,6,0.5,
astral-sh/ruff,full_rewrite,2023-Q4,722,78,802,21,5,16,0.0262,0.0893,0.7729,675,565,110,103,0.6806,0,720,78,98165,51627,0.3447,46538,4053,16,0.0222,0,16447155,3,0.0893,0.0262,0.009107471778553798,0.14169171318162302,0.2744553977,0.1304151838,0.1675542935328875,0.38757087136220686,-0.842730221458237,12,0.0,
astral-sh/ruff,full_rewrite,2024-Q1,540,76,657,25,6,21,0.0381,0.0934,0.8032,540,421,119,92,0.767,0,537,69,78196,41709,0.3479,36487,3189,20,0.0372,0,19415739,4,0.0934,0.0381,0.006175659860281393,0.1584553928095872,0.343154411907,0.156777817258,0.15865006697520903,0.5111448857491955,-0.7894851469668869,14,0.5,
astral-sh/ruff,full_rewrite,2024-Q2,587,124,819,30,13,21,0.0366,0.1351,1.0005,512,380,132,86,0.7935,0,587,45,79936,112795,0.5852,-32859,3241,21,0.0358,0,21211308,5,0.1351,0.0366,0.00908623834041729,0.2015267175572519,0.44737051483537005,0.17926781370477998,0.15345779928785752,0.6666685635890198,-0.7516424531535557,10,0.5,
astral-sh/ruff,full_rewrite,2024-Q3,622,150,778,23,9,16,0.0296,0.1209,0.8027,550,387,163,86,0.7907,0,622,52,74260,34353,0.3163,39907,3333,16,0.0257,0,26404423,6,0.1209,0.0296,0.0041134396309285,0.2524196670538134,0.5280071685001867,0.1927337104713498,0.14376003698287884,0.8590880599198214,-0.739559927381853,9,0.3,
astral-sh/ruff,full_rewrite,2024-Q4,712,155,869,28,13,19,0.0322,0.1653,0.9967,612,480,132,85,0.7442,0,710,63,87362,35629,0.2897,51733,4620,19,0.0268,0,28058000,7,0.1653,0.0322,0.004383455698909402,0.2318840579710145,0.6457865233351698,0.20758767652892832,0.13520508935332917,1.013654192498052,-0.7065629124563633,14,0.1111,
astral-sh/ruff,full_rewrite,2025-Q1,910,147,1022,48,15,35,0.047,0.2269,1.0872,600,508,92,72,0.6706,0,896,59,137368,62489,0.3127,74879,5005,35,0.0391,0,30925772,8,0.2269,0.047,0.006462474081487764,0.16621499548328816,0.8145657362350046,0.23590478564132478,0.12949910539301732,1.0886403106565155,-0.6161792059573017,11,0.4286,
astral-sh/ruff,full_rewrite,2025-Q2,1097,157,1205,19,5,15,0.0158,0.3459,1.9313,504,357,147,99,0.5972,0,1095,84,166767,81558,0.3284,85209,9575,24,0.0219,0,34615019,9,0.3459,0.0158,0.00717390910575551,0.25857519788918204,1.087154819973854,0.23047335493360557,0.12501809501340128,1.2492378805866111,-0.59435384529185,16,0.1818,
astral-sh/ruff,full_rewrite,2025-Q3,918,145,1012,15,6,11,0.0148,0.3253,2.4357,368,243,125,92,0.6364,0,917,78,136770,56063,0.2907,80707,4315,14,0.0153,1,40450097,10,0.3253,0.0148,0.004767182634939046,0.22065313327449249,1.3146108861762071,0.22453075298958108,0.11853364909713421,1.3574596046083087,-0.566012451886764,16,0.3125,
astral-sh/ruff,full_rewrite,2025-Q4,967,139,1077,18,3,15,0.0167,0.2736,1.6712,341,235,106,86,0.6087,0,966,74,355126,69700,0.1641,285426,5361,18,0.0186,5,45980262,11,0.2736,0.0167,0.00923931229447975,0.2034548944337812,1.4698959064203485,0.22102298522051878,0.11710493297287188,1.4387431346273423,-0.5537500456182972,15,0.25,
dagger/dagger,full_rewrite,2023-Q1,466,99,311,3,0,3,0.0096,0.8961,5.0584,184,244,-60,29,,0,449,72,65181,25669,0.2825,39512,2125,9,0.02,0,9688646,0,0.8961,0.0096,0.009376955252570896,,0.8961,0.0096,0.009376955252570896,0.0,-0.49543463516865693,8,,
dagger/dagger,full_rewrite,2023-Q2,294,73,316,4,0,4,0.0127,0.7562,5.0176,102,87,15,31,0.3448,0,291,44,59044,24829,0.296,34215,1923,8,0.0275,0,11644311,1,0.7562,0.0127,0.007202916514339062,,1.5716510000000001,0.021435999999999997,0.015735945794178578,0.0,-0.31108166031099416,10,0.375,
dagger/dagger,full_rewrite,2023-Q3,249,50,262,14,6,10,0.0534,1.0577,4.5022,98,89,9,31,0.4194,0,243,50,70373,22161,0.2395,48212,1876,10,0.0412,0,395337,2,1.0577,0.0534,0.2340635963747385,0.06293706293706294,2.4879024100000002,0.07290676,0.24838330704744102,0.06293706293706294,-0.46082682335772207,11,0.3,
