repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits,qidx,f_latency,f_refactor,f_churn,f_backlog,S_latency,zS_latency,S_refactor,zS_refactor,S_churn,zS_churn,S_backlog,zS_backlog,CQI_F,ACT,CQI_2SIG,event_quarter_debt
Infisical/infisical,migration,2023-Q1,1087,20,156,5,0,5,0.0321,0.4195,3.0886,109,77,32,44,,1,809,18,82024,34793,0.2978,47231,3549,34,0.042,0,0,0.4195,0.0321,144.39678615574783,0.7272727272727273,0.4195,-1.4066539316827085,0.0321,-1.6925801484128076,144.39678615574783,-1.723350583123265,0.7272727272727273,-2.2546773064419208,-3.2589394637705125,1.4430552930417275,-1.549617040047758,2024-Q1
Infisical/infisical,migration,2023-Q2,715,34,128,2,0,2,0.0156,0.282,1.6838,78,41,37,20,0.8636,0,510,34,88531,55100,0.3836,33431,3400,10,0.0196,0,1,0.282,0.0156,281.6294117647059,1.85,0.663745,-1.0766910998582016,0.044811,-1.6010316316910103,413.0304871664364,-1.2716707631971973,2.5118181818181817,-1.2095818501790003,-2.5145787629182226,0.5716207029908371,-1.3388613657746058,2024-Q1
Infisical/infisical,migration,2023-Q3,934,3,158,5,0,5,0.0316,0.269,1.4564,134,103,31,42,0.65,0,725,3,92582,62712,0.4038,29870,3813,16,0.0221,0,2,0.269,0.0316,214.19862068965517,0.7380952380952381,0.8730079500000001,-0.7939872755099027,0.07237800999999999,-1.4024855789843027,590.0563640111122,-0.974020037042492,3.0238497835497835,-0.9097173109655542,-2.005812953131386,0.39124580371474005,-1.0982364272471026,2024-Q1
Infisical/infisical,migration,2023-Q4,583,3,108,4,2,2,0.037,0.2557,1.8584,81,48,33,24,0.7857,0,434,3,49353,30041,0.3784,19312,2059,15,0.0346,0,3,0.2557,0.037,182.93548387096774,1.375,1.0501372345000002,-0.5546944330252304,0.1028639891,-1.182916216430867,719.8867751210798,-0.755723611499279,4.126703303030303,-0.26384572546075147,-1.4684788570399836,-0.1346445085506253,-0.8688053247280487,2024-Q1
Infisical/infisical,migration,2024-Q1,1557,26,220,21,9,13,0.0955,0.0892,1.5502,94,49,45,25,0.6667,0,1300,26,150469,121903,0.4476,28566,7354,69,0.0531,0,4,0.0892,0.0955,209.51692307692306,1.8,1.0448248833950002,-0.5618711548179051,0.189106230081,-0.5617731717786474,864.6138884371057,-0.5123799199406343,5.555300005757576,0.5727930494438381,-0.7737052763536985,-0.7648168851294552,-0.5618221632982763,2024-Q1
Infisical/infisical,migration,2024-Q2,1733,4,296,44,2,44,0.1486,0.144,1.302,74,70,4,22,0.76,0,1347,23,85952,44829,0.3428,41123,4249,85,0.0631,0,5,0.144,0.1486,97.090571640683,0.18181818181818182,1.0947906438894501,-0.4943699006386434,0.32068666937371004,0.38590946899313483,883.8892101184493,-0.4799704575638348,5.237141187057576,0.38646754288617996,-0.22446908133157334,-0.4165748091498469,-0.05423021582275428,2024-Q1
Infisical/infisical,migration,2024-Q3,1604,6,318,15,3,14,0.0472,0.1814,1.2257,91,82,9,26,0.6818,0,1234,6,112269,46930,0.2948,65339,4880,83,0.0673,0,6,0.1814,0.0472,129.01053484602917,0.34615384615384615,1.1776594859393996,-0.3824182218209844,0.3390248691300762,0.5179868025658945,933.349716053818,-0.39680772582061746,5.11195232637624,0.313152341449565,-0.05956133162441457,-0.3043183960371687,0.06778429037245504,2024-Q1
Infisical/infisical,migration,2024-Q4,1215,2,284,17,0,17,0.0599,0.3701,2.9533,68,72,-4,27,0.6923,1,918,1,105115,42252,0.2867,62863,4211,51,0.0556,0,7,0.3701,0.0599,160.53050108932462,-0.14814814814814814,1.4417701322048537,-0.025617891182691296,0.36841263090836934,0.7296464674684413,1009.8787426982991,-0.26813207252825155,4.503728468854231,-0.043045920840630705,0.238866101723225,0.1004019238349401,0.352014288142875,2024-Q1
Infisical/infisical,migration,2025-Q1,1302,3,289,10,0,10,0.0346,0.1598,1.5984,64,45,19,22,0.7037,1,974,3,343245,276789,0.4464,66456,13386,58,0.0595,0,8,0.1598,0.0346,636.5852156057495,0.8636363636363636,1.4718108203064169,0.014965582443989059,0.3698554941266161,0.7400384104676492,1555.5748714612018,0.6493996007005408,4.962029270293713,0.22535188542766463,0.8553176316055845,0.0735468162972548,0.3775019964558191,2024-Q1
Infisical/infisical,migration,2025-Q2,2090,0,420,10,0,10,0.0238,0.2121,1.8864,58,37,21,17,0.4545,1,1527,0,283980,98295,0.2571,185685,10788,41,0.0269,0,9,0.2121,0.0238,250.34381139489196,1.2352941176470589,1.5514478464788393,0.12255123895255578,0.36036849965522066,0.6717101694162648,1665.9169444245856,0.8349283986840342,5.750740753614338,0.687250339973182,1.0936523779135523,-0.33348640153536935,0.3971307041844103,2024-Q1
Infisical/infisical,migration,2025-Q3,1677,1,395,17,0,17,0.043,0.1882,1.9656,69,48,21,22,0.3529,1,1209,1,228010,139763,0.38,88247,9688,43,0.0356,0,10,0.1882,0.043,304.19602977667495,0.9545454545454546,1.6000175402957437,0.18816647657328514,0.3709353346862508,0.7478157530473509,1820.180449203048,1.094306547432123,6.187719540334502,0.9431611901682816,1.3830969265360005,-0.5005906722015899,0.467991114810318,2024-Q1
Infisical/infisical,migration,2025-Q4,2446,1,361,13,0,13,0.036,0.7357,2.651,64,22,42,18,0.5455,1,1947,0,277766,147507,0.3469,130259,13512,111,0.057,0,11,0.7357,0.036,218.42475603492554,2.3333333333333335,2.191715961669127,0.9875215778136459,0.3735511545644882,0.7666556893123203,1874.7889648096993,1.186125125677675,7.96415811503773,1.9835089594131998,2.1326249427689223,-1.4734871545250183,0.877088633562983,2024-Q1
Infisical/infisical,migration,2026-Q1,2715,156,499,21,0,21,0.0421,0.6743,2.7648,46,117,-71,33,0.2778,1,2109,148,273581,102961,0.2734,170620,9280,233,0.1105,32,12,0.6743,0.0421,178.54054054054055,-2.1515151515151514,2.6687615251189056,1.6319863776056849,0.3820315506536842,0.8277341003877062,1884.598498517367,1.202618843338445,5.095868733169183,0.303733197690429,2.110454917024409,0.13664169043075045,1.2298602389966955,2024-Q1
Infisical/infisical,migration,2026-Q2,4162,112,776,51,0,51,0.0657,0.7725,2.8428,69,115,-46,35,0.4242,1,3059,111,585662,318988,0.3526,266674,18515,213,0.0696,51,13,0.7725,0.0657,295.7338999673096,-1.3142857142857143,3.201072987858204,2.351112655147106,0.4133487110948526,1.0532898856388682,2010.7185336181135,1.414676654882753,3.322954832898243,-0.7345503925644798,2.4915328285980944,1.2114065968188206,1.7022012703929872,2024-Q1
LedgerHQ/ledger-live,migration,2023-Q1,1056,10,494,15,0,15,0.0304,2.0004,7.2179,44,29,15,56,,0,817,36,1149015,665425,0.3667,483590,9342,24,0.0294,0,0,2.0004,0.0304,2220.856793145655,0.26785714285714285,2.0004,-2.312280275481068,0.0304,-1.3258383629208517,2220.856793145655,-2.3223760293078337,0.26785714285714285,2.7347905008108295,-2.6507282853181535,-3.3906201435910615,-1.8190593192009599,
LedgerHQ/ledger-live,migration,2023-Q2,945,97,447,7,0,7,0.0157,1.5874,7.0171,33,45,-12,57,0.3571,0,762,90,157818,566642,0.7822,-408824,9500,22,0.0289,0,1,1.5874,0.0157,950.7349081364829,-0.21052631578947367,3.4077640000000002,-1.6329499081718406,0.043364,-1.1736841770511601,2971.714589899029,-1.7857529001375436,0.03322368421052632,-0.1670559606829489,-2.606712429815103,-0.47113321115575174,-1.4033170426115005,
LedgerHQ/ledger-live,migration,2023-Q3,1151,165,516,9,0,9,0.0174,0.9753,4.6654,18,19,-1,54,0.4211,0,844,146,513798,276406,0.3498,237392,6124,13,0.0154,1,2,0.9753,0.0174,936.260663507109,-0.018518518518518517,4.07636524,-1.3102181017929615,0.05686124,-1.015271529435622,3640.5209403152257,-1.3077703072669202,0.011715034113060435,-0.4330657639601646,-2.1358288261568896,-0.0746116459810103,-1.1627448156142917,
