repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits,qidx,f_latency,f_refactor,f_churn,f_backlog,S_latency,zS_latency,S_refactor,zS_refactor,S_churn,zS_churn,S_backlog,zS_backlog,CQI_F,ACT,CQI_2SIG,event_quarter_debt
LedgerHQ/ledger-live,migration,2023-Q4,1092,97,506,6,0,6,0.0119,1.9219,6.1761,20,16,4,50,0.3519,0,866,90,952063,1422938,0.5991,-470875,8133,20,0.0231,0,3,1.9219,0.0119,2742.4953810623556,0.08,5.6313923684,-0.5596111868002625,0.0636437284,-0.935667703404102,6055.369436749212,0.4180738701948401,0.090660681042885,0.5433002987277669,-0.4629324365523696,-0.5703222897757021,-0.7476394451021822,
LedgerHQ/ledger-live,migration,2024-Q1,1290,67,482,18,0,18,0.0373,1.8728,6.9699,12,12,0,53,0.3,0,1064,66,90538,50512,0.3581,40026,6068,87,0.0818,0,4,1.8728,0.0373,132.56578947368422,0.0,6.997367055244,0.09974068361054889,0.095215792844,-0.5651168115727031,5642.951976915467,0.12332731661654793,0.08250121974902534,0.4423875643724208,-0.08934617820416992,-0.4893369766603164,-0.2326880639810771,
LedgerHQ/ledger-live,migration,2024-Q2,1190,92,474,15,0,15,0.0316,0.9563,5.6666,12,13,-1,52,0.3396,0,945,82,383546,260454,0.4044,123092,6736,60,0.0635,0,5,0.9563,0.0316,681.4814814814815,-0.019230769230769232,7.32390402027204,0.25735909390990175,0.11824637148804001,-0.29481451724288116,5816.5677804745565,0.2474070773676965,0.05584534074084384,0.11271903106065136,0.13916920831953433,-0.09916234240150577,-0.018727711666489705,
LedgerHQ/ledger-live,migration,2024-Q3,1155,67,550,12,0,12,0.0218,0.8981,3.1723,16,16,0,57,0.25,0,913,57,422937,228685,0.3509,194252,6670,53,0.0581,0,6,0.8981,0.0218,713.7152245345017,0.0,7.562852658447556,0.3726988824364047,0.1294041980541164,-0.16385879237119272,6006.791904766348,0.383356474527207,0.05081926007416789,0.050558610795345765,0.3380740564392257,0.01532973462157515,0.10442004503260599,
LedgerHQ/ledger-live,migration,2024-Q4,1470,112,593,11,0,11,0.0185,1.039,4.256,20,18,2,54,0.3158,0,1133,98,150878,310119,0.6727,-159241,5911,18,0.0159,0,7,1.039,0.0185,406.88172992056485,0.037037037037037035,7.9211959191872765,0.5456700959540876,0.13625782022924593,-0.08342009271712783,5873.062363257942,0.2877826317342817,0.08328256370452983,0.4520508928915861,0.5214518366171207,-0.37881137343718124,0.23112500161847988,
LedgerHQ/ledger-live,migration,2025-Q1,1663,271,674,10,0,10,0.0148,0.9679,4.8565,8,12,-4,71,0.2407,0,1164,257,230326,98293,0.2991,132033,6449,23,0.0198,0,8,0.9679,0.0148,282.31872852233676,-0.056338028169014086,8.176188286460421,0.6687541442320846,0.1387946164086138,-0.0536465538873638,5626.805479087064,0.11178773585001184,0.019449104802108062,-0.3374140790239709,0.3101596288098764,0.33414204721120216,0.30755379517236037,
LedgerHQ/ledger-live,migration,2025-Q2,1777,289,619,22,0,22,0.0355,0.9699,4.4503,7,7,0,68,0.2817,0,1204,268,715263,453405,0.388,261858,7646,69,0.0573,0,9,0.9699,0.0355,970.6544850498339,0.0,8.410231340678983,0.7817260221460208,0.16180310093183856,0.2163964290443441,6091.047471019062,0.4435722514799724,0.017698685369918338,-0.35906251938166045,0.708600993434919,0.48256002093649664,0.49906122559518246,
LedgerHQ/ledger-live,migration,2025-Q3,2546,292,897,47,0,47,0.0524,0.7257,3.0078,18,12,6,72,0.1765,0,1646,275,893453,922494,0.508,-29041,9550,121,0.0735,0,10,0.7257,0.0524,1103.2484811664642,0.08333333333333333,8.379010520017875,0.7666558259726028,0.1996408218479731,0.6604852612843203,6646.101679793811,0.8402584517961137,0.09943913701995902,0.6518684951025958,1.4284217656323834,-0.30614543842967135,0.7135705436284616,
LedgerHQ/ledger-live,migration,2025-Q4,2721,269,1001,54,0,54,0.0539,0.7891,3.6671,9,22,-13,73,0.25,0,1680,258,215489,205927,0.4887,9562,13344,115,0.0685,8,11,0.7891,0.0539,250.84285714285716,-0.1780821917808219,8.413999573216266,0.7835449366511942,0.23557314788165554,1.0822111031586856,6298.795385755226,0.5920455530376842,-0.0875925770926592,-1.6612599091555476,0.967268070846619,1.909822485128909,0.9328780199049399,
LedgerHQ/ledger-live,migration,2026-Q1,4480,313,1599,93,0,93,0.0582,0.7306,2.8211,8,6,2,78,0.2192,0,2814,302,1702977,1863127,0.5225,-160150,24443,230,0.0817,102,12,0.7306,0.0582,1267.272210376688,0.02564102564102564,8.387339611626803,0.7706762534256608,0.2725715645723066,1.5164492989341882,6999.176011413943,1.0925936522600928,-0.054068219513294234,-1.2466449647368556,1.595053521545712,1.7136198318994933,1.1435627761799245,
LedgerHQ/ledger-live,migration,2026-Q2,5843,312,2174,168,0,168,0.0773,0.7498,2.9368,18,15,3,92,0.1154,0,3648,301,704029,486803,0.4088,217226,26637,412,0.1129,286,13,0.7498,0.0773,326.4342105263158,0.03260869565217391,8.382279046580392,0.768233533907632,0.325340123760799,2.135776448181465,6695.684380913004,0.8756942218478377,-0.016593384104923843,-0.7831721968200472,1.9373490744012913,1.3246693016345197,1.4520049910445487,
PostHog/posthog,full_rewrite,2023-Q1,965,3,984,66,0,66,0.0671,0.3597,1.8427,247,172,75,30,,0,956,3,134049,74590,0.3575,59459,5972,65,0.068,0,0,0.3597,0.0671,218.24163179916317,2.5,0.3597,-1.9314190963308746,0.0671,-1.8235846440586927,218.24163179916317,-1.6888054283083667,2.5,-0.9042762156432612,-3.264172117621058,0.14645819226757723,-1.8775018701947837,
PostHog/posthog,full_rewrite,2023-Q2,1031,1,1030,65,0,65,0.0631,0.3169,2.2872,161,129,32,28,0.3,1,1025,1,167420,87300,0.3427,80120,5660,60,0.0585,0,1,0.3169,0.0631,248.50731707317073,1.1428571428571428,0.6442270000000001,-1.6271668644883424,0.12416100000000002,-1.2990808882435445,447.1072020104092,-1.3494347452838145,3.4178571428571427,-0.6540357312741826,-2.5464203914351398,0.07967261616812382,-1.4631238763659433,
PostHog/posthog,full_rewrite,2023-Q3,948,4,943,38,0,38,0.0403,0.608,2.8303,218,148,70,38,0.2857,1,947,1,90330,59669,0.3978,30661,4827,37,0.0391,0,2,0.608,0.0403,158.39387539598732,1.8421052631578947,1.1942465700000002,-1.0390164192597,0.15328651000000004,-1.0313596883866953,565.2614292254598,-1.174231106068013,4.952355263157894,-0.23567699661075747,-1.8743195210534522,-0.23485949873465556,-1.0351880538231977,
PostHog/posthog,full_rewrite,2023-Q4,1499,4,1369,39,0,39,0.0285,0.3733,1.83,291,224,67,53,0.3158,0,1479,3,268036,136274,0.3371,131762,10920,63,0.0426,0,3,0.3733,0.0285,273.36713995943205,1.2641509433962264,1.4600643787000003,-0.7547704195462589,0.16799072410000004,-0.8961987987815351,787.7550405546004,-0.8443090091109436,5.7707942328699104,-0.012541440275994464,-1.4013628068267172,-0.3450142026706422,-0.825484609163897,
PostHog/posthog,full_rewrite,2024-Q1,1251,22,1215,54,0,54,0.0444,0.3964,2.0106,280,369,-89,40,0.434,0,1249,22,212082,127015,0.3746,85067,7022,62,0.0496,0,4,0.3964,0.0444,271.4947958366693,-2.225,1.7250585846170003,-0.47140512002956336,0.19727155893100004,-0.6270498556809497,988.3518827413557,-0.5468562848647771,3.026422751911619,-0.7607546606317642,-1.1100516320394072,0.48582751456842665,-0.5492274878552565,
PostHog/posthog,full_rewrite,2024-Q2,1446,11,1459,76,0,76,0.0521,0.4325,2.0203,373,484,-111,53,0.225,0,1386,10,278591,178211,0.3901,100380,8658,71,0.0512,0,5,0.4325,0.0521,329.58297258297256,-2.0943396226415096,2.0023033120014704,-0.1749400145270999,0.23161711862721004,-0.3113460464901624,1228.9831858776063,-0.19003891986286287,0.6597050815980636,-1.4060060276806126,-0.7259907935018366,1.2411410260652913,-0.24314303050863115,
PostHog/posthog,full_rewrite,2024-Q3,1371,3,1387,74,0,74,0.0534,0.4639,1.8973,333,268,65,57,0.3396,0,1370,2,207221,102491,0.3309,104730,7781,71,0.0518,0,6,0.4639,0.0534,226.06715328467152,1.1403508771929824,2.2859960139213378,0.1284200803551358,0.2641715779507612,-0.012106001910957126,1344.4418524332934,-0.018832361821210467,1.7406825014472203,-1.1112931573388805,-0.22198414204622036,1.0514686978893981,0.05815703922208934,
PostHog/posthog,full_rewrite,2024-Q4,1309,2,1318,56,0,56,0.0425,0.5439,1.8468,343,242,101,58,0.386,0,1308,1,211000,98755,0.3188,112245,6839,56,0.0428,1,7,0.5439,0.0425,236.81574923547402,1.7413793103448276,2.624156372668417,0.4900238784813954,0.2828961359351927,0.1600098213100317,1460.257834949771,0.1529040380903094,3.325400386661798,-0.6792427295892983,0.27501370038557993,0.7085935162112514,0.32501684989571356,
PostHog/posthog,full_rewrite,2025-Q1,2562,1,2584,135,0,135,0.0522,0.3144,1.6108,418,285,133,76,0.2586,0,2558,0,423379,193447,0.3136,229932,14416,133,0.052,0,8,0.3144,0.0522,241.1360437842064,1.75,2.7023822991282596,0.5736729265975912,0.3096354837010254,0.4057974578959071,1569.970673588498,0.3155904611771038,4.776114351862236,-0.28372653389603586,0.6501916892750782,0.4134801545758225,0.4897351922467491,
PostHog/posthog,full_rewrite,2025-Q2,2667,4,2695,133,1,133,0.0494,0.2073,1.456,615,337,278,88,0.2368,0,2662,4,435356,209535,0.3249,225821,14253,128,0.0481,6,9,0.2073,0.0494,242.2580766341097,3.159090909090909,2.6664678922067164,0.5352687032332695,0.33116829016793314,0.6037266541093247,1670.931389599643,0.4652988997147344,7.505354969285544,0.46036147520068066,1.0107583640611177,-0.22428591023433908,0.5694976786712971,
PostHog/posthog,full_rewrite,2025-Q3,3204,4,3239,178,0,178,0.055,0.4055,1.8794,636,375,261,106,0.2273,0,3202,4,741296,346514,0.3185,394782,24038,175,0.0547,26,10,0.4055,0.055,339.7282948157402,2.4622641509433962,2.831985781908112,0.7122613519151719,0.35636314405281916,0.8353173288229923,1860.2758593514152,0.746066172691922,9.292137172993241,0.9475018189866804,1.5179144887606388,-0.580736869885799,0.7737893403690821,
PostHog/posthog,full_rewrite,2025-Q4,3788,1,3847,257,1,256,0.0668,0.4516,2.4737,654,386,268,122,0.2358,0,3786,1,909218,358419,0.2827,550799,24122,256,0.0676,174,11,0.4516,0.0668,334.82223983095616,2.19672131147541,3.028707061536382,0.922620609130902,0.39109046108806544,1.1545302450770019,2027.6732718407438,0.9942895037967708,10.65256613889926,1.3184031144958368,2.0458474961279274,-0.819662158756278,1.038575427103952,
PostHog/posthog,full_rewrite,2026-Q1,5935,416,6413,368,2,366,0.0574,0.5652,2.0913,660,341,319,154,0.2295,0,5928,402,1869352,660733,0.2612,1208619,38115,354,0.0597,821,12,0.5652,0.0574,426.8024628879892,2.0714285714285716,3.3213234259981075,1.2355230119296796,0.41329231959013957,1.3586093563862034,2271.985140263066,1.3565645527740322,11.765263757826899,1.6217640386697527,2.611699101377293,-0.9866592010990829,1.2970661841579414,
PostHog/posthog,full_rewrite,2026-Q2,8917,731,9824,498,5,493,0.0507,0.4536,1.7885,612,362,250,186,0.2143,0,8906,724,3371363,1003674,0.2294,2367689,73585,467,0.0524,1389,13,0.4536,0.0507,491.24601392319784,1.3440860215053763,3.476004317658278,1.4009273725386897,0.42679601082702706,1.482735059951083,2558.752491562588,1.7817942270751184,12.050476041127855,1.6995230455878374,3.0328765645362004,-0.9354238763650932,1.4418312162448863,
airbytehq/airbyte,migration,2023-Q1,1401,1,1409,39,0,39,0.0277,1.7845,6.9987,1370,1341,29,162,,0,1395,1,304712,418405,0.5786,-113693,22179,32,0.0229,0,0,1.7845,0.0277,518.3634408602151,0.17901234567901234,1.7845,-2.2265671974431425,0.0277,-2.4048760608363993,518.3634408602151,-1.7413058663993923,0.17901234567901234,1.1687553515913995,-3.2742020942036305,-1.940197505395791,-2.315721629139771,
airbytehq/airbyte,migration,2023-Q2,1126,0,1098,66,9,58,0.0601,0.786,4.2741,1241,1265,-24,146,0.6111,0,1122,0,253490,197516,0.4379,55974,9648,53,0.0472,0,1,0.786,0.0601,401.96613190730835,-0.1643835616438356,2.409895,-1.561078963121839,0.085307,-1.7966349880304044,873.676863090104,-1.2925441907399418,-0.0014823270759343754,1.1274622478276488,-2.323633758995254,-1.6907573143798411,-1.6788569755761218,
airbytehq/airbyte,migration,2023-Q3,1133,0,1115,94,12,83,0.0843,0.9294,4.4526,1139,1051,88,117,0.5685,0,1122,0,288637,218611,0.431,70026,13627,79,0.0704,0,2,0.9294,0.0843,452.09269162210336,0.7521367521367521,3.1224044500000003,-0.8028914882975389,0.16192937000000002,-0.9876209354024619,1247.138637034098,-0.8208611048096188,0.7507878344976519,1.2995646670630676,-1.1431090571277576,-1.605316981345775,-0.8952562118500004,
airbytehq/airbyte,migration,2023-Q4,1080,0,1036,77,31,68,0.0743,1.0241,5.0976,797,1048,-251,108,0.5128,0,1080,0,153781,113974,0.4257,39807,9912,68,0.063,0,3,1.0241,0.0743,247.9212962962963,-2.324074074074074,3.8654880495000006,-0.012169796271900938,0.22165572670000003,-0.3570027245252851,1382.8174559973256,-0.6494984420446899,-1.6408571446812108,0.7524103229270059,-0.3948513059359571,-0.939722314023742,-0.18458626039859302,
airbytehq/airbyte,migration,2024-Q1,1167,6,1117,104,58,98,0.0931,0.9493,4.6172,459,795,-336,99,0.5185,0,1164,2,272606,277930,0.5048,-5324,12775,95,0.0816,0,4,0.9493,0.0931,472.96907216494844,-3.393939393939394,4.466894125045,0.6277916158349214,0.29480671129700003,0.4153588521597374,1731.332957122515,-0.20932255649359022,-4.887119395599296,0.009738852763999195,0.4580268957264276,0.004689955822285902,0.5215752339973294,
airbytehq/airbyte,migration,2024-Q2,2196,3,2082,113,29,110,0.0543,0.9973,5.2484,349,562,-213,118,0.4141,0,2194,0,405020,271181,0.401,133839,16448,108,0.0492,0,5,0.9973,0.0543,308.2046490428441,-1.805084745762712,5.06217365379095,1.2612337164477496,0.32257410728027003,0.7085397281278144,1883.7176400243327,-0.016860348861003596,-6.2523633957580715,-0.3025981337017093,0.9990252841412139,0.39497574469133795,0.984886722287782,
airbytehq/airbyte,migration,2024-Q3,4270,1,4152,219,3,217,0.0527,0.4122,0.4923,495,433,62,119,0.5508,0,4264,1,961226,292922,0.2336,668304,18862,217,0.0509,0,6,0.4122,0.0527,294.124765478424,0.5210084033613446,5.018778024949765,1.2150560520679854,0.3462424376250457,0.9584407929364841,2008.3078179005668,0.14049733451486685,-5.168642286778501,-0.05466722515452696,1.2672801655392125,0.2411038851660524,1.0867484225022348,
airbytehq/airbyte,migration,2024-Q4,3486,16,3480,97,30,68,0.0279,0.2199,0.9756,437,560,-123,95,0.6218,0,3484,9,642943,307045,0.3232,335898,14358,68,0.0195,0,7,0.2199,0.0279,272.67164179104475,-1.2947368421052632,4.786988002704287,0.9684062825024482,0.34298061823879156,0.9240010109170314,2100.2317560805604,0.2565974814555011,-5.998201323073699,-0.24445159297574165,1.1342485518875147,0.4471004808144675,0.9462036467097398,
airbytehq/airbyte,migration,2025-Q1,5294,57,5398,98,36,64,0.0182,0.2235,0.3331,299,311,-12,126,0.4737,0,5289,57,371236,310921,0.4558,60315,16147,60,0.0113,2,8,0.2235,0.0182,128.97655511438836,-0.09523809523809523,4.579659082460901,0.7477857833674804,0.33031236259730035,0.7902437695755068,2040.1874531476983,0.1807613877080462,-5.5536012992351615,-0.14273715100627596,0.9210291892493491,0.3102742121278569,0.7690147764714936,
airbytehq/airbyte,migration,2025-Q2,4602,54,4740,70,1,69,0.0148,0.2745,2.8373,197,175,22,94,0.5794,0,4599,54,336330,158831,0.3208,177499,13689,61,0.0133,15,9,0.2745,0.0148,107.66710154381387,0.23404255319148937,4.44198976503942,0.6012906707250057,0.3153842499635433,0.6326259237698736,1964.2376839082194,0.08483665315691202,-4.819734629112507,0.02515496511880994,0.7389672179023431,0.10060571885861999,0.6169582972474397,
airbytehq/airbyte,migration,2025-Q3,3219,534,3848,68,0,68,0.0177,0.0649,0.3083,205,197,8,86,0.5,0,3219,533,204490,294162,0.5899,-89672,9916,66,0.0205,17,10,0.0649,0.0177,154.9089779434607,0.09302325581395349,4.107110686185872,0.24494294345281462,0.3046996674668244,0.5198132114208804,1942.3652702999404,0.057211744083769306,-4.292935256678428,0.14567476116915054,0.4966903298669788,-0.03736544753691267,0.38237807743684754,
airbytehq/airbyte,migration,2025-Q4,411,2662,3135,25,0,25,0.008,0.1001,0.4132,156,245,-89,50,0.593,0,411,2662,128393,43628,0.2536,84765,3348,19,0.0462,88,11,0.1001,0.008,418.5425790754258,-1.78,3.8375707244291437,-0.041876863594758326,0.28527669739481026,0.3147366034794737,2186.0949750483715,0.36504292598638294,-5.68657108357737,-0.1731576338852415,0.3221926075942071,0.3101831727167824,0.13642986994235767,
airbytehq/airbyte,migration,2026-Q1,367,3000,3437,48,2,47,0.014,0.0632,0.8577,155,297,-142,49,0.5,0,367,2912,85113,180867,0.68,-95754,5816,22,0.0599,224,12,0.0632,0.014,724.741144414169,-2.8979591836734695,3.5553893592305212,-0.3421484974971819,0.27360179462927736,0.1914676364613438,2714.087571708187,1.0318987991077215,-8.072738869728877,-0.7190589199860681,0.33570190650245785,0.9774502903691809,-0.07534043051791905,
airbytehq/airbyte,migration,2026-Q2,437,3126,3633,55,7,52,0.0151,0.0027,0.013,146,555,-409,40,0.4898,0,436,3126,576199,76301,0.1169,499898,3911,14,0.0321,320,13,0.0027,0.0151,1496.559633027523,-10.225,3.2381043168997743,-0.6797742581720335,0.2640776331126424,0.09090717994641268,3966.3793232819735,2.6135461833350413,-17.57119237145328,-2.8920905117515185,0.46263406785290706,3.4269761021154808,-0.29443353911281045,
appwrite/appwrite,full_rewrite,2023-Q1,758,0,96,4,0,4,0.0417,6.2013,33.8829,173,244,-71,23,,0,564,0,19190,12130,0.3873,7060,1698,14,0.0248,0,0,6.2013,0.0417,55.53191489361702,-3.0869565217391304,6.2013,0.25967201693706365,0.0417,-1.8396101790234605,55.53191489361702,-1.3926933886532478,-3.0869565217391304,-0.9138135980398129,-1.9271227962398185,0.2065838900413952,-0.7899690810431984,
appwrite/appwrite,full_rewrite,2023-Q2,805,0,135,7,0,7,0.0519,0.4537,5.1019,218,128,90,24,0.5217,1,607,0,649711,22335,0.0332,627376,34608,25,0.0412,0,1,0.4537,0.0519,1107.159802306425,3.75,6.096883,0.08157143514783932,0.08984700000000001,-1.503145138380845,1157.6938448596165,-0.9173375149023164,0.9408695652173913,0.5303400076822462,-1.2050163813588122,-0.9926625859604317,-0.7107868516165028,
appwrite/appwrite,full_rewrite,2023-Q3,1425,0,219,15,0,15,0.0685,0.8842,5.9865,275,419,-144,29,0.3333,1,957,0,171080,50280,0.2271,120800,10095,43,0.0449,0,2,0.8842,0.0685,231.30616509926855,-4.9655172413793105,6.43236353,0.6537893457558577,0.15026077000000002,-1.080956391866553,1284.8075639215197,-0.8625141252101454,-4.1093259370314845,-1.2803782027668351,-1.0706118480226756,0.8146285095127548,-0.21358352305534767,
