repo,quarter,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits
triggerdotdev/trigger.dev,2024-Q3,272,20,67114,337781,0.8342,-270667,3200,2,0.0074,0
triggerdotdev/trigger.dev,2024-Q4,184,18,42655,11807,0.2168,30848,1825,2,0.0109,0
triggerdotdev/trigger.dev,2025-Q1,349,11,118627,95094,0.4449,23533,3283,4,0.0115,0
triggerdotdev/trigger.dev,2025-Q2,277,22,71924,19562,0.2138,52362,1900,8,0.0289,7
triggerdotdev/trigger.dev,2025-Q3,309,13,70572,30782,0.3037,39790,1919,6,0.0194,0
triggerdotdev/trigger.dev,2025-Q4,169,9,71712,8525,0.1062,63187,1036,1,0.0059,0
appwrite/appwrite,2023-Q1,564,0,19190,12130,0.3873,7060,1698,14,0.0248,0
appwrite/appwrite,2023-Q2,607,0,649711,22335,0.0332,627376,34608,25,0.0412,0
appwrite/appwrite,2023-Q3,957,0,171080,50280,0.2271,120800,10095,43,0.0449,0
appwrite/appwrite,2023-Q4,811,0,94356,116407,0.5523,-22051,2524,33,0.0407,0
appwrite/appwrite,2024-Q1,1073,0,153019,75974,0.3318,77045,17055,36,0.0336,0
appwrite/appwrite,2024-Q2,717,0,73669,17341,0.1905,56328,1949,35,0.0488,0
appwrite/appwrite,2024-Q3,817,0,493662,105926,0.1767,387736,22761,43,0.0526,0
appwrite/appwrite,2024-Q4,779,0,1314866,56321,0.0411,1258545,56304,32,0.0411,0
appwrite/appwrite,2025-Q1,1261,0,365966,206855,0.3611,159111,5040,40,0.0317,0
appwrite/appwrite,2025-Q2,1196,0,952529,180140,0.159,772389,29338,41,0.0343,0
appwrite/appwrite,2025-Q3,1078,3,408471,450817,0.5246,-42346,18816,55,0.051,2
appwrite/appwrite,2025-Q4,1026,19,338252,216687,0.3905,121565,8861,88,0.0858,4
airbytehq/airbyte,2023-Q1,1395,1,304712,418405,0.5786,-113693,22179,32,0.0229,0
airbytehq/airbyte,2023-Q2,1122,0,253490,197516,0.4379,55974,9648,53,0.0472,0
airbytehq/airbyte,2023-Q3,1122,0,288637,218611,0.431,70026,13627,79,0.0704,0
airbytehq/airbyte,2023-Q4,1080,0,153781,113974,0.4257,39807,9912,68,0.063,0
airbytehq/airbyte,2024-Q1,1164,2,272606,277930,0.5048,-5324,12775,95,0.0816,0
airbytehq/airbyte,2024-Q2,2194,0,405020,271181,0.401,133839,16448,108,0.0492,0
airbytehq/airbyte,2024-Q3,4264,1,961226,292922,0.2336,668304,18862,217,0.0509,0
airbytehq/airbyte,2024-Q4,3484,9,642943,307045,0.3232,335898,14358,68,0.0195,0
airbytehq/airbyte,2025-Q1,5289,57,371236,310921,0.4558,60315,16147,60,0.0113,2
airbytehq/airbyte,2025-Q2,4599,54,336330,158831,0.3208,177499,13689,61,0.0133,15
airbytehq/airbyte,2025-Q3,3219,533,204490,294162,0.5899,-89672,9916,66,0.0205,17
airbytehq/airbyte,2025-Q4,411,2662,128393,43628,0.2536,84765,3348,19,0.0462,88
zed-industries/zed,2023-Q1,891,0,64542,36071,0.3585,28471,2918,19,0.0213,0
zed-industries/zed,2023-Q2,1559,0,128358,97241,0.431,31117,6163,27,0.0173,0
zed-industries/zed,2023-Q3,1717,0,174645,96142,0.355,78503,6517,40,0.0233,0
zed-industries/zed,2023-Q4,2995,0,746644,392983,0.3448,353661,13717,36,0.012,0
zed-industries/zed,2024-Q1,2292,0,250492,509132,0.6702,-258640,12412,50,0.0218,0
zed-industries/zed,2024-Q2,1585,0,171113,89109,0.3424,82004,6352,26,0.0164,2
zed-industries/zed,2024-Q3,1883,32,194960,108963,0.3585,85997,7391,36,0.0191,2
zed-industries/zed,2024-Q4,1507,28,163828,93638,0.3637,70190,5877,30,0.0199,1
zed-industries/zed,2025-Q1,2322,26,319690,210166,0.3966,109524,11705,47,0.0202,1
zed-industries/zed,2025-Q2,2609,9,336815,184079,0.3534,152736,11118,52,0.0199,4
zed-industries/zed,2025-Q3,2271,1,300444,184198,0.3801,116246,10965,52,0.0229,5
zed-industries/zed,2025-Q4,2384,0,390306,195360,0.3336,194946,10197,47,0.0197,7
LedgerHQ/ledger-live,2023-Q1,817,36,1149015,665425,0.3667,483590,9342,24,0.0294,0
LedgerHQ/ledger-live,2023-Q2,762,90,157818,566642,0.7822,-408824,9500,22,0.0289,0
LedgerHQ/ledger-live,2023-Q3,844,146,513798,276406,0.3498,237392,6124,13,0.0154,1
LedgerHQ/ledger-live,2023-Q4,866,90,952063,1422938,0.5991,-470875,8133,20,0.0231,0
LedgerHQ/ledger-live,2024-Q1,1064,66,90538,50512,0.3581,40026,6068,87,0.0818,0
LedgerHQ/ledger-live,2024-Q2,945,82,383546,260454,0.4044,123092,6736,60,0.0635,0
LedgerHQ/ledger-live,2024-Q3,913,57,422937,228685,0.3509,194252,6670,53,0.0581,0
LedgerHQ/ledger-live,2024-Q4,1133,98,150878,310119,0.6727,-159241,5911,18,0.0159,0
LedgerHQ/ledger-live,2025-Q1,1164,257,230326,98293,0.2991,132033,6449,23,0.0198,0
LedgerHQ/ledger-live,2025-Q2,1204,268,715263,453405,0.388,261858,7646,69,0.0573,0
LedgerHQ/ledger-live,2025-Q3,1646,275,893453,922494,0.508,-29041,9550,121,0.0735,0
LedgerHQ/ledger-live,2025-Q4,1680,258,215489,205927,0.4887,9562,13344,115,0.0685,8
weaviate/weaviate,2023-Q1,604,7,82692,37540,0.3122,45152,8719,33,0.0546,0
weaviate/weaviate,2023-Q2,429,6,57767,26064,0.3109,31703,2822,26,0.0606,0
weaviate/weaviate,2023-Q3,497,7,87087,41804,0.3243,45283,2397,17,0.0342,0
weaviate/weaviate,2023-Q4,476,15,62619,27492,0.3051,35127,2104,26,0.0546,0
weaviate/weaviate,2024-Q1,535,12,75114,59901,0.4437,15213,9354,23,0.043,0
weaviate/weaviate,2024-Q2,832,10,109991,52996,0.3252,56995,4317,54,0.0649,0
weaviate/weaviate,2024-Q3,853,3,71366,27905,0.2811,43461,2968,19,0.0223,0
weaviate/weaviate,2024-Q4,1170,19,165536,99548,0.3755,65988,5434,69,0.059,0
weaviate/weaviate,2025-Q1,1210,37,128585,55903,0.303,72682,5126,68,0.0562,0
weaviate/weaviate,2025-Q2,977,4,145981,55886,0.2768,90095,7768,74,0.0757,0
weaviate/weaviate,2025-Q3,868,15,123099,52626,0.2995,70473,3774,25,0.0288,0
weaviate/weaviate,2025-Q4,870,22,86912,37453,0.3012,49459,3568,37,0.0425,7
astral-sh/ruff,2023-Q1,1573,0,212483,125319,0.371,87164,14297,128,0.0814,0
astral-sh/ruff,2023-Q2,929,0,136052,78444,0.3657,57608,8253,35,0.0377,0
astral-sh/ruff,2023-Q3,1213,37,323137,174094,0.3501,149043,10500,39,0.0322,0
astral-sh/ruff,2023-Q4,720,78,98165,51627,0.3447,46538,4053,16,0.0222,0
astral-sh/ruff,2024-Q1,537,69,78196,41709,0.3479,36487,3189,20,0.0372,0
astral-sh/ruff,2024-Q2,587,45,79936,112795,0.5852,-32859,3241,21,0.0358,0
astral-sh/ruff,2024-Q3,622,52,74260,34353,0.3163,39907,3333,16,0.0257,0
astral-sh/ruff,2024-Q4,710,63,87362,35629,0.2897,51733,4620,19,0.0268,0
astral-sh/ruff,2025-Q1,896,59,137368,62489,0.3127,74879,5005,35,0.0391,0
astral-sh/ruff,2025-Q2,1095,84,166767,81558,0.3284,85209,9575,24,0.0219,0
astral-sh/ruff,2025-Q3,917,78,136770,56063,0.2907,80707,4315,14,0.0153,1
astral-sh/ruff,2025-Q4,966,74,355126,69700,0.1641,285426,5361,18,0.0186,5
inngest/inngest,2023-Q1,298,0,25776,29241,0.5315,-3465,1448,2,0.0067,0
inngest/inngest,2023-Q2,204,0,15485,21262,0.5786,-5777,741,7,0.0343,0
inngest/inngest,2023-Q3,269,0,34115,11916,0.2589,22199,1324,5,0.0186,0
inngest/inngest,2023-Q4,411,5,61005,18752,0.2351,42253,2758,25,0.0608,0
inngest/inngest,2024-Q1,403,0,35798,74556,0.6756,-38758,3360,11,0.0273,0
inngest/inngest,2024-Q2,246,1,49929,15347,0.2351,34582,1588,0,0.0,0
inngest/inngest,2024-Q3,247,1,31529,17757,0.3603,13772,1666,7,0.0283,0
inngest/inngest,2024-Q4,189,1,55211,32160,0.3681,23051,1253,4,0.0212,0
inngest/inngest,2025-Q1,219,6,45204,21208,0.3193,23996,1985,7,0.032,0
inngest/inngest,2025-Q2,290,7,70114,31131,0.3075,38983,1897,18,0.0621,2
inngest/inngest,2025-Q3,363,1,86828,31732,0.2676,55096,2101,15,0.0413,5
inngest/inngest,2025-Q4,337,1,130264,42874,0.2476,87390,3056,7,0.0208,2
milvus-io/milvus,2023-Q1,501,0,140083,92171,0.3969,47912,3610,8,0.016,0
milvus-io/milvus,2023-Q2,598,4,122430,80274,0.396,42156,4773,9,0.0151,0
milvus-io/milvus,2023-Q3,700,0,137826,112306,0.449,25520,4984,9,0.0129,0
milvus-io/milvus,2023-Q4,643,3,123684,135610,0.523,-11926,3439,6,0.0093,0
milvus-io/milvus,2024-Q1,688,0,147460,70869,0.3246,76591,3503,10,0.0145,0
milvus-io/milvus,2024-Q2,730,0,154146,59441,0.2783,94705,4174,14,0.0192,0
milvus-io/milvus,2024-Q3,684,0,149425,64620,0.3019,84805,4909,9,0.0132,0
milvus-io/milvus,2024-Q4,700,0,166477,69703,0.2951,96774,4897,9,0.0129,0
milvus-io/milvus,2025-Q1,516,1,227877,94371,0.2929,133506,6255,8,0.0155,0
milvus-io/milvus,2025-Q2,552,0,800588,123358,0.1335,677230,4966,10,0.0181,0
milvus-io/milvus,2025-Q3,582,1,243062,116903,0.3248,126159,5347,18,0.0309,1
milvus-io/milvus,2025-Q4,571,0,208314,110388,0.3464,97926,3975,8,0.014,0
tursodatabase/libsql,2023-Q1,861,0,52379,43268,0.4524,9111,3114,14,0.0163,0
tursodatabase/libsql,2023-Q2,580,0,46814,48815,0.5105,-2001,2172,7,0.0121,0
tursodatabase/libsql,2023-Q3,1237,0,1469320,49481,0.0326,1419839,7051,41,0.0331,0
tursodatabase/libsql,2023-Q4,1209,0,2353964,1147580,0.3277,1206384,9319,17,0.0141,0
tursodatabase/libsql,2024-Q1,749,0,663258,19600,0.0287,643658,2902,29,0.0387,0
tursodatabase/libsql,2024-Q2,367,0,102285,8535,0.077,93750,2607,5,0.0136,0
tursodatabase/libsql,2024-Q3,969,0,92039,40948,0.3079,51091,3376,30,0.031,0
tursodatabase/libsql,2024-Q4,225,0,11791,4872,0.2924,6919,658,3,0.0133,0
tursodatabase/libsql,2025-Q1,92,0,70166,83309,0.5428,-13143,1601,6,0.0652,0
tursodatabase/libsql,2025-Q2,56,0,1720,609,0.2615,1111,117,1,0.0179,0
tursodatabase/libsql,2025-Q3,68,0,1574,683,0.3026,891,150,1,0.0147,0
tursodatabase/libsql,2025-Q4,33,0,1568,244,0.1347,1324,72,0,0.0,0
qdrant/qdrant,2023-Q1,100,57,49534,4804,0.0884,44730,711,1,0.01,0
qdrant/qdrant,2023-Q2,210,71,73026,10680,0.1276,62346,1299,6,0.0286,0
qdrant/qdrant,2023-Q3,153,68,34682,4655,0.1183,30027,778,6,0.0392,0
qdrant/qdrant,2023-Q4,285,49,70930,21315,0.2311,49615,2002,13,0.0456,0
qdrant/qdrant,2024-Q1,240,66,45967,16580,0.2651,29387,1461,8,0.0333,0
qdrant/qdrant,2024-Q2,373,77,72982,22373,0.2346,50609,2531,24,0.0643,0
qdrant/qdrant,2024-Q3,263,55,71981,19848,0.2161,52133,1941,13,0.0494,0
qdrant/qdrant,2024-Q4,247,66,56989,13703,0.1938,43286,1851,12,0.0486,0
qdrant/qdrant,2025-Q1,335,97,63331,26046,0.2914,37285,2909,18,0.0537,0
qdrant/qdrant,2025-Q2,156,34,36047,8287,0.1869,27760,1073,3,0.0192,1
qdrant/qdrant,2025-Q3,358,81,84630,30195,0.263,54435,2502,27,0.0754,1
qdrant/qdrant,2025-Q4,263,46,57630,27721,0.3248,29909,1910,15,0.057,1
