repo,quarter,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits
PostHog/posthog,2023-Q1,956,3,134049,74590,0.3575,59459,5972,65,0.068,0
PostHog/posthog,2023-Q2,1025,1,167420,87300,0.3427,80120,5660,60,0.0585,0
PostHog/posthog,2023-Q3,947,1,90330,59669,0.3978,30661,4827,37,0.0391,0
PostHog/posthog,2023-Q4,1479,3,268036,136274,0.3371,131762,10920,63,0.0426,0
PostHog/posthog,2024-Q1,1249,22,212082,127015,0.3746,85067,7022,62,0.0496,0
PostHog/posthog,2024-Q2,1386,10,278591,178211,0.3901,100380,8658,71,0.0512,0
PostHog/posthog,2024-Q3,1370,2,207221,102491,0.3309,104730,7781,71,0.0518,0
PostHog/posthog,2024-Q4,1308,1,211000,98755,0.3188,112245,6839,56,0.0428,1
PostHog/posthog,2025-Q1,2558,0,423379,193447,0.3136,229932,14416,133,0.052,0
PostHog/posthog,2025-Q2,2662,4,435356,209535,0.3249,225821,14253,128,0.0481,6
PostHog/posthog,2025-Q3,3202,4,741296,346514,0.3185,394782,24038,175,0.0547,26
PostHog/posthog,2025-Q4,3786,1,909218,358419,0.2827,550799,24122,256,0.0676,174
Infisical/infisical,2023-Q1,809,18,82024,34793,0.2978,47231,3549,34,0.042,0
Infisical/infisical,2023-Q2,510,34,88531,55100,0.3836,33431,3400,10,0.0196,0
Infisical/infisical,2023-Q3,725,3,92582,62712,0.4038,29870,3813,16,0.0221,0
Infisical/infisical,2023-Q4,434,3,49353,30041,0.3784,19312,2059,15,0.0346,0
Infisical/infisical,2024-Q1,1300,26,150469,121903,0.4476,28566,7354,69,0.0531,0
Infisical/infisical,2024-Q2,1347,23,85952,44829,0.3428,41123,4249,85,0.0631,0
Infisical/infisical,2024-Q3,1234,6,112269,46930,0.2948,65339,4880,83,0.0673,0
Infisical/infisical,2024-Q4,918,1,105115,42252,0.2867,62863,4211,51,0.0556,0
Infisical/infisical,2025-Q1,974,3,343245,276789,0.4464,66456,13386,58,0.0595,0
Infisical/infisical,2025-Q2,1527,0,283980,98295,0.2571,185685,10788,41,0.0269,0
Infisical/infisical,2025-Q3,1209,1,228010,139763,0.38,88247,9688,43,0.0356,0
Infisical/infisical,2025-Q4,1947,0,277766,147507,0.3469,130259,13512,111,0.057,0
dagger/dagger,2023-Q1,449,72,65181,25669,0.2825,39512,2125,9,0.02,0
dagger/dagger,2023-Q2,291,44,59044,24829,0.296,34215,1923,8,0.0275,0
dagger/dagger,2023-Q3,243,50,70373,22161,0.2395,48212,1876,10,0.0412,0
dagger/dagger,2023-Q4,261,27,143745,65190,0.312,78555,2947,11,0.0421,0
dagger/dagger,2024-Q1,442,33,273184,113170,0.2929,160014,4519,21,0.0475,0
dagger/dagger,2024-Q2,438,25,110140,203082,0.6484,-92942,3879,20,0.0457,0
dagger/dagger,2024-Q3,471,6,74026,35845,0.3262,38181,3713,14,0.0297,0
dagger/dagger,2024-Q4,352,33,86559,35317,0.2898,51242,3184,11,0.0312,1
dagger/dagger,2025-Q1,454,34,184271,150574,0.4497,33697,4444,6,0.0132,0
dagger/dagger,2025-Q2,364,36,92591,58911,0.3888,33680,3901,17,0.0467,0
dagger/dagger,2025-Q3,284,25,244132,61365,0.2009,182767,6743,12,0.0423,1
dagger/dagger,2025-Q4,247,43,77244,32421,0.2956,44823,3695,12,0.0486,0
triggerdotdev/trigger.dev,2023-Q1,1755,0,1307965,761836,0.3681,546129,6461,11,0.0063,0
triggerdotdev/trigger.dev,2023-Q2,987,9,80337,587350,0.8797,-507013,4195,10,0.0101,0
triggerdotdev/trigger.dev,2023-Q3,665,55,84007,33403,0.2845,50604,3641,15,0.0226,0
triggerdotdev/trigger.dev,2023-Q4,253,23,65791,13913,0.1746,51878,1973,3,0.0119,0
triggerdotdev/trigger.dev,2024-Q1,208,14,72748,19884,0.2147,52864,2351,3,0.0144,0
triggerdotdev/trigger.dev,2024-Q2,353,42,267895,17110,0.06,250785,2139,13,0.0368,0
