repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits,core_size,turnover_core,qidx,churn_per_commit,backlog_per_contrib,adoption_q,adopt_idx,tau,post
PostHog/posthog,full_rewrite,2023-Q2,1031,1,1030,65,0,65,0.0631,0.3169,2.2872,161,129,32,28,0.3,1,1025,1,167420,87300,0.3427,80120,5660,60,0.0585,0,10.0,0.4615,1,248.50731707317073,1.1428571428571428,2025-Q1,8.0,-7.0,False
PostHog/posthog,full_rewrite,2023-Q3,948,4,943,38,0,38,0.0403,0.608,2.8303,218,148,70,38,0.2857,1,947,1,90330,59669,0.3978,30661,4827,37,0.0391,0,12.0,0.2,2,158.39387539598732,1.8421052631578947,2025-Q1,8.0,-6.0,False
PostHog/posthog,full_rewrite,2023-Q4,1499,4,1369,39,0,39,0.0285,0.3733,1.83,291,224,67,53,0.3158,0,1479,3,268036,136274,0.3371,131762,10920,63,0.0426,0,16.0,0.0833,3,273.36713995943205,1.2641509433962264,2025-Q1,8.0,-5.0,False
PostHog/posthog,full_rewrite,2024-Q1,1251,22,1215,54,0,54,0.0444,0.3964,2.0106,280,369,-89,40,0.434,0,1249,22,212082,127015,0.3746,85067,7022,62,0.0496,0,16.0,0.125,4,271.4947958366693,-2.225,2025-Q1,8.0,-4.0,False
PostHog/posthog,full_rewrite,2024-Q2,1446,11,1459,76,0,76,0.0521,0.4325,2.0203,373,484,-111,53,0.225,0,1386,10,278591,178211,0.3901,100380,8658,71,0.0512,0,19.0,0.1875,5,329.58297258297256,-2.0943396226415096,2025-Q1,8.0,-3.0,False
PostHog/posthog,full_rewrite,2024-Q3,1371,3,1387,74,0,74,0.0534,0.4639,1.8973,333,268,65,57,0.3396,0,1370,2,207221,102491,0.3309,104730,7781,71,0.0518,0,18.0,0.2105,6,226.06715328467152,1.1403508771929824,2025-Q1,8.0,-2.0,False
PostHog/posthog,full_rewrite,2024-Q4,1309,2,1318,56,0,56,0.0425,0.5439,1.8468,343,242,101,58,0.386,0,1308,1,211000,98755,0.3188,112245,6839,56,0.0428,1,21.0,0.2778,7,236.81574923547402,1.7413793103448276,2025-Q1,8.0,-1.0,False
PostHog/posthog,full_rewrite,2025-Q1,2562,1,2584,135,0,135,0.0522,0.3144,1.6108,418,285,133,76,0.2586,0,2558,0,423379,193447,0.3136,229932,14416,133,0.052,0,29.0,0.2381,8,241.1360437842064,1.75,2025-Q1,8.0,0.0,True
PostHog/posthog,full_rewrite,2025-Q2,2667,4,2695,133,1,133,0.0494,0.2073,1.456,615,337,278,88,0.2368,0,2662,4,435356,209535,0.3249,225821,14253,128,0.0481,6,34.0,0.1724,9,242.2580766341097,3.159090909090909,2025-Q1,8.0,1.0,True
PostHog/posthog,full_rewrite,2025-Q3,3204,4,3239,178,0,178,0.055,0.4055,1.8794,636,375,261,106,0.2273,0,3202,4,741296,346514,0.3185,394782,24038,175,0.0547,26,40.0,0.2059,10,339.7282948157402,2.4622641509433962,2025-Q1,8.0,2.0,True
PostHog/posthog,full_rewrite,2025-Q4,3788,1,3847,257,1,256,0.0668,0.4516,2.4737,654,386,268,122,0.2358,0,3786,1,909218,358419,0.2827,550799,24122,256,0.0676,174,47.0,0.25,11,334.82223983095616,2.19672131147541,2025-Q1,8.0,3.0,True
PostHog/posthog,full_rewrite,2026-Q1,5935,416,6413,368,2,366,0.0574,0.5652,2.0913,660,341,319,154,0.2295,0,5928,402,1869352,660733,0.2612,1208619,38115,354,0.0597,821,,,12,426.8024628879892,2.0714285714285716,2025-Q1,8.0,4.0,True
PostHog/posthog,full_rewrite,2026-Q2,8917,731,9824,498,5,493,0.0507,0.4536,1.7885,612,362,250,186,0.2143,0,8906,724,3371363,1003674,0.2294,2367689,73585,467,0.0524,1389,,,13,491.24601392319784,1.3440860215053763,2025-Q1,8.0,5.0,True
airbytehq/airbyte,migration,2023-Q1,1401,1,1409,39,0,39,0.0277,1.7845,6.9987,1370,1341,29,162,,0,1395,1,304712,418405,0.5786,-113693,22179,32,0.0229,0,46.0,,0,518.3634408602151,0.17901234567901234,2025-Q1,8.0,-8.0,False
airbytehq/airbyte,migration,2023-Q2,1126,0,1098,66,9,58,0.0601,0.786,4.2741,1241,1265,-24,146,0.6111,0,1122,0,253490,197516,0.4379,55974,9648,53,0.0472,0,31.0,0.4783,1,401.96613190730835,-0.1643835616438356,2025-Q1,8.0,-7.0,False
airbytehq/airbyte,migration,2023-Q3,1133,0,1115,94,12,83,0.0843,0.9294,4.4526,1139,1051,88,117,0.5685,0,1122,0,288637,218611,0.431,70026,13627,79,0.0704,0,32.0,0.2581,2,452.09269162210336,0.7521367521367521,2025-Q1,8.0,-6.0,False
airbytehq/airbyte,migration,2023-Q4,1080,0,1036,77,31,68,0.0743,1.0241,5.0976,797,1048,-251,108,0.5128,0,1080,0,153781,113974,0.4257,39807,9912,68,0.063,0,31.0,0.2812,3,247.9212962962963,-2.324074074074074,2025-Q1,8.0,-5.0,False
airbytehq/airbyte,migration,2024-Q1,1167,6,1117,104,58,98,0.0931,0.9493,4.6172,459,795,-336,99,0.5185,0,1164,2,272606,277930,0.5048,-5324,12775,95,0.0816,0,25.0,0.3226,4,472.96907216494844,-3.393939393939394,2025-Q1,8.0,-4.0,False
airbytehq/airbyte,migration,2024-Q2,2196,3,2082,113,29,110,0.0543,0.9973,5.2484,349,562,-213,118,0.4141,0,2194,0,405020,271181,0.401,133839,16448,108,0.0492,0,19.0,0.44,5,308.2046490428441,-1.805084745762712,2025-Q1,8.0,-3.0,False
airbytehq/airbyte,migration,2024-Q3,4270,1,4152,219,3,217,0.0527,0.4122,0.4923,495,433,62,119,0.5508,0,4264,1,961226,292922,0.2336,668304,18862,217,0.0509,0,6.0,0.7368,6,294.124765478424,0.5210084033613446,2025-Q1,8.0,-2.0,False
airbytehq/airbyte,migration,2024-Q4,3486,16,3480,97,30,68,0.0279,0.2199,0.9756,437,560,-123,95,0.6218,0,3484,9,642943,307045,0.3232,335898,14358,68,0.0195,0,4.0,0.6667,7,272.67164179104475,-1.2947368421052632,2025-Q1,8.0,-1.0,False
airbytehq/airbyte,migration,2025-Q1,5294,57,5398,98,36,64,0.0182,0.2235,0.3331,299,311,-12,126,0.4737,0,5289,57,371236,310921,0.4558,60315,16147,60,0.0113,2,1.0,0.75,8,128.97655511438836,-0.09523809523809523,2025-Q1,8.0,0.0,True
airbytehq/airbyte,migration,2025-Q2,4602,54,4740,70,1,69,0.0148,0.2745,2.8373,197,175,22,94,0.5794,0,4599,54,336330,158831,0.3208,177499,13689,61,0.0133,15,1.0,0.0,9,107.66710154381387,0.23404255319148937,2025-Q1,8.0,1.0,True
airbytehq/airbyte,migration,2025-Q3,3219,534,3848,68,0,68,0.0177,0.0649,0.3083,205,197,8,86,0.5,0,3219,533,204490,294162,0.5899,-89672,9916,66,0.0205,17,1.0,0.0,10,154.9089779434607,0.09302325581395349,2025-Q1,8.0,2.0,True
airbytehq/airbyte,migration,2025-Q4,411,2662,3135,25,0,25,0.008,0.1001,0.4132,156,245,-89,50,0.593,0,411,2662,128393,43628,0.2536,84765,3348,19,0.0462,88,16.0,0.0,11,418.5425790754258,-1.78,2025-Q1,8.0,3.0,True
airbytehq/airbyte,migration,2026-Q1,367,3000,3437,48,2,47,0.014,0.0632,0.8577,155,297,-142,49,0.5,0,367,2912,85113,180867,0.68,-95754,5816,22,0.0599,224,,,12,724.741144414169,-2.8979591836734695,2025-Q1,8.0,4.0,True
airbytehq/airbyte,migration,2026-Q2,437,3126,3633,55,7,52,0.0151,0.0027,0.013,146,555,-409,40,0.4898,0,436,3126,576199,76301,0.1169,499898,3911,14,0.0321,320,,,13,1496.559633027523,-10.225,2025-Q1,8.0,5.0,True
appwrite/appwrite,full_rewrite,2023-Q1,758,0,96,4,0,4,0.0417,6.2013,33.8829,173,244,-71,23,,0,564,0,19190,12130,0.3873,7060,1698,14,0.0248,0,7.0,,0,55.53191489361702,-3.0869565217391304,2025-Q3,10.0,-10.0,False
appwrite/appwrite,full_rewrite,2023-Q2,805,0,135,7,0,7,0.0519,0.4537,5.1019,218,128,90,24,0.5217,1,607,0,649711,22335,0.0332,627376,34608,25,0.0412,0,7.0,0.1429,1,1107.159802306425,3.75,2025-Q3,10.0,-9.0,False
appwrite/appwrite,full_rewrite,2023-Q3,1425,0,219,15,0,15,0.0685,0.8842,5.9865,275,419,-144,29,0.3333,1,957,0,171080,50280,0.2271,120800,10095,43,0.0449,0,9.0,0.2857,2,231.30616509926855,-4.9655172413793105,2025-Q3,10.0,-8.0,False
appwrite/appwrite,full_rewrite,2023-Q4,1201,0,188,11,0,11,0.0585,0.2117,1.8944,350,240,110,29,0.2759,1,811,0,94356,116407,0.5523,-22051,2524,33,0.0407,0,11.0,0.2222,3,259.8803945745993,3.793103448275862,2025-Q3,10.0,-7.0,False
appwrite/appwrite,full_rewrite,2024-Q1,1635,0,267,19,0,19,0.0712,0.6264,4.438,152,193,-41,25,0.4138,0,1073,0,153019,75974,0.3318,77045,17055,36,0.0336,0,8.0,0.3636,4,213.41379310344828,-1.64,2025-Q3,10.0,-6.0,False
appwrite/appwrite,full_rewrite,2024-Q2,1122,0,194,15,0,15,0.0773,0.902,6.4262,146,158,-12,27,0.36,0,717,0,73669,17341,0.1905,56328,1949,35,0.0488,0,10.0,0.25,5,126.93165969316597,-0.4444444444444444,2025-Q3,10.0,-5.0,False
appwrite/appwrite,full_rewrite,2024-Q3,1255,0,190,8,0,8,0.0421,0.909,5.7372,140,86,54,20,0.3704,0,817,0,493662,105926,0.1767,387736,22761,43,0.0526,0,8.0,0.3,6,733.8898408812729,2.7,2025-Q3,10.0,-4.0,False
appwrite/appwrite,full_rewrite,2024-Q4,1151,0,170,9,0,9,0.0529,0.4567,3.99,154,170,-16,20,0.25,1,779,0,1314866,56321,0.0411,1258545,56304,32,0.0411,0,8.0,0.25,7,1760.188703465982,-0.8,2025-Q3,10.0,-3.0,False
appwrite/appwrite,full_rewrite,2025-Q1,1802,0,223,7,0,7,0.0314,0.5473,4.1641,131,108,23,18,0.2,1,1261,0,365966,206855,0.3611,159111,5040,40,0.0317,0,8.0,0.25,8,454.25931800158605,1.2777777777777777,2025-Q3,10.0,-2.0,False
appwrite/appwrite,full_rewrite,2025-Q2,1792,0,275,15,0,15,0.0545,0.1418,2.6117,111,83,28,20,0.1667,1,1196,0,952529,180140,0.159,772389,29338,41,0.0343,0,6.0,0.625,9,947.0476588628762,1.4,2025-Q3,10.0,-1.0,False
appwrite/appwrite,full_rewrite,2025-Q3,1615,0,244,13,0,13,0.0533,0.1518,1.2146,126,119,7,28,0.15,1,1078,3,408471,450817,0.5246,-42346,18816,55,0.051,2,7.0,0.0,10,797.113172541744,0.25,2025-Q3,10.0,0.0,True
appwrite/appwrite,full_rewrite,2025-Q4,1667,0,254,20,0,20,0.0787,0.1931,2.9034,103,66,37,25,0.2857,1,1026,19,338252,216687,0.3905,121565,8861,88,0.0858,3,9.0,0.2857,11,540.8762183235867,1.48,2025-Q3,10.0,1.0,True
appwrite/appwrite,full_rewrite,2026-Q1,2238,0,315,25,0,25,0.0794,0.1559,1.2514,96,276,-180,19,0.36,1,1478,19,817553,4097268,0.8337,-3279715,113859,122,0.0825,300,,,12,3325.3186738836266,-9.473684210526315,2025-Q3,10.0,2.0,True
appwrite/appwrite,full_rewrite,2026-Q2,2903,0,423,63,0,63,0.1489,0.0844,1.2167,79,34,45,24,0.1579,1,1952,22,465037,426914,0.4786,38123,7236,287,0.147,250,,,13,456.9421106557377,1.875,2025-Q3,10.0,3.0,True
astral-sh/ruff,full_rewrite,2023-Q1,1585,0,1297,62,4,58,0.0478,0.0187,0.2359,924,770,154,122,,0,1573,0,212483,125319,0.371,87164,14297,128,0.0814,0,10.0,,0,214.75015893197713,1.2622950819672132,2025-Q3,10.0,-10.0,False
astral-sh/ruff,full_rewrite,2023-Q2,931,1,932,40,6,35,0.0429,0.1002,0.8766,549,479,70,81,0.8197,0,929,0,136052,78444,0.3657,57608,8253,35,0.0377,0,8.0,0.7,1,230.88912809472552,0.8641975308641975,2025-Q3,10.0,-9.0,False
astral-sh/ruff,full_rewrite,2023-Q3,1218,38,1281,46,6,40,0.0359,0.0968,0.8869,856,657,199,72,0.7901,0,1213,37,323137,174094,0.3501,149043,10500,39,0.0322,0,6.0,0.5,2,409.9183841714757,2.763888888888889,2025-Q3,10.0,-8.0,False
astral-sh/ruff,full_rewrite,2023-Q4,722,78,802,21,5,16,0.0262,0.0893,0.7729,675,565,110,103,0.6806,0,720,78,98165,51627,0.3447,46538,4053,16,0.0222,0,12.0,0.0,3,208.04444444444445,1.0679611650485437,2025-Q3,10.0,-7.0,False
astral-sh/ruff,full_rewrite,2024-Q1,540,76,657,25,6,21,0.0381,0.0934,0.8032,540,421,119,92,0.767,0,537,69,78196,41709,0.3479,36487,3189,20,0.0372,0,14.0,0.5,4,223.28677839851025,1.2934782608695652,2025-Q3,10.0,-6.0,False
astral-sh/ruff,full_rewrite,2024-Q2,587,124,819,30,13,21,0.0366,0.1351,1.0005,512,380,132,86,0.7935,0,587,45,79936,112795,0.5852,-32859,3241,21,0.0358,0,10.0,0.5,5,328.33219761499146,1.5348837209302326,2025-Q3,10.0,-5.0,False
astral-sh/ruff,full_rewrite,2024-Q3,622,150,778,23,9,16,0.0296,0.1209,0.8027,550,387,163,86,0.7907,0,622,52,74260,34353,0.3163,39907,3333,16,0.0257,0,9.0,0.3,6,174.61897106109325,1.8953488372093024,2025-Q3,10.0,-4.0,False
astral-sh/ruff,full_rewrite,2024-Q4,712,155,869,28,13,19,0.0322,0.1653,0.9967,612,480,132,85,0.7442,0,710,63,87362,35629,0.2897,51733,4620,19,0.0268,0,14.0,0.1111,7,173.22676056338028,1.5529411764705883,2025-Q3,10.0,-3.0,False
astral-sh/ruff,full_rewrite,2025-Q1,910,147,1022,48,15,35,0.047,0.2269,1.0872,600,508,92,72,0.6706,0,896,59,137368,62489,0.3127,74879,5005,35,0.0391,0,11.0,0.4286,8,223.0546875,1.2777777777777777,2025-Q3,10.0,-2.0,False
astral-sh/ruff,full_rewrite,2025-Q2,1097,157,1205,19,5,15,0.0158,0.3459,1.9313,504,357,147,99,0.5972,0,1095,84,166767,81558,0.3284,85209,9575,24,0.0219,0,16.0,0.1818,9,226.78082191780823,1.4848484848484849,2025-Q3,10.0,-1.0,False
astral-sh/ruff,full_rewrite,2025-Q3,918,145,1012,15,6,11,0.0148,0.3253,2.4357,368,243,125,92,0.6364,0,917,78,136770,56063,0.2907,80707,4315,14,0.0153,1,16.0,0.3125,10,210.2868047982552,1.358695652173913,2025-Q3,10.0,0.0,True
astral-sh/ruff,full_rewrite,2025-Q4,967,139,1077,18,3,15,0.0167,0.2736,1.6712,341,235,106,86,0.6087,0,966,74,355126,69700,0.1641,285426,5361,18,0.0186,5,15.0,0.25,11,439.7784679089027,1.2325581395348837,2025-Q3,10.0,1.0,True
astral-sh/ruff,full_rewrite,2026-Q1,1099,215,1290,26,13,13,0.0202,0.3295,2.5239,283,280,3,124,0.5349,0,1098,120,172810,78849,0.3133,93961,4384,19,0.0173,45,,,12,229.1976320582878,0.024193548387096774,2025-Q3,10.0,2.0,True
astral-sh/ruff,full_rewrite,2026-Q2,1027,182,1228,23,0,23,0.0187,0.1927,1.7908,220,183,37,106,0.75,0,1024,110,312684,193951,0.3828,118733,5194,23,0.0225,21,,,13,494.7607421875,0.3490566037735849,2025-Q3,10.0,3.0,True
dagger/dagger,full_rewrite,2023-Q1,466,99,311,3,0,3,0.0096,0.8961,5.0584,184,244,-60,29,,0,449,72,65181,25669,0.2825,39512,2125,9,0.02,0,8.0,,0,202.33853006681514,-2.0689655172413794,2026-Q1,12.0,-12.0,False
dagger/dagger,full_rewrite,2023-Q2,294,73,316,4,0,4,0.0127,0.7562,5.0176,102,87,15,31,0.3448,0,291,44,59044,24829,0.296,34215,1923,8,0.0275,0,10.0,0.375,1,288.2233676975945,0.4838709677419355,2026-Q1,12.0,-11.0,False
dagger/dagger,full_rewrite,2023-Q3,249,50,262,14,6,10,0.0534,1.0577,4.5022,98,89,9,31,0.4194,0,243,50,70373,22161,0.2395,48212,1876,10,0.0412,0,11.0,0.3,2,380.798353909465,0.2903225806451613,2026-Q1,12.0,-10.0,False
dagger/dagger,full_rewrite,2023-Q4,263,27,290,15,3,12,0.0517,0.8231,4.1232,137,126,11,28,0.4194,0,261,27,143745,65190,0.312,78555,2947,11,0.0421,0,8.0,0.4545,3,800.5172413793103,0.39285714285714285,2026-Q1,12.0,-9.0,False
dagger/dagger,full_rewrite,2024-Q1,443,35,377,14,1,13,0.0371,0.7793,3.0845,185,117,68,39,0.2857,0,442,33,273184,113170,0.2929,160014,4519,21,0.0475,0,6.0,0.25,4,874.10407239819,1.7435897435897436,2026-Q1,12.0,-8.0,False
dagger/dagger,full_rewrite,2024-Q2,439,26,427,15,3,12,0.0351,0.7869,4.0846,231,198,33,46,0.5128,0,438,25,110140,203082,0.6484,-92942,3879,20,0.0457,0,10.0,0.0,5,715.1187214611872,0.717391304347826,2026-Q1,12.0,-7.0,False
dagger/dagger,full_rewrite,2024-Q3,471,6,454,20,7,14,0.0441,0.8899,5.6008,239,156,83,34,0.587,0,471,6,74026,35845,0.3262,38181,3713,14,0.0297,0,12.0,0.1,6,233.27176220806794,2.4411764705882355,2026-Q1,12.0,-6.0,False
dagger/dagger,full_rewrite,2024-Q4,354,34,325,9,1,8,0.0277,1.1427,7.0225,191,132,59,29,0.4412,0,352,33,86559,35317,0.2898,51242,3184,11,0.0312,1,8.0,0.4167,7,346.2386363636364,2.0344827586206895,2026-Q1,12.0,-5.0,False
dagger/dagger,full_rewrite,2025-Q1,455,34,474,6,0,6,0.0127,1.0246,5.4871,148,112,36,43,0.3103,0,454,34,184271,150574,0.4497,33697,4444,6,0.0132,0,14.0,0.125,8,737.5440528634361,0.8372093023255814,2026-Q1,12.0,-4.0,False
dagger/dagger,full_rewrite,2025-Q2,365,36,395,17,0,17,0.043,0.7046,4.9381,160,107,53,47,0.4186,0,364,36,92591,58911,0.3888,33680,3901,17,0.0467,0,12.0,0.3571,9,416.2142857142857,1.127659574468085,2026-Q1,12.0,-3.0,False
dagger/dagger,full_rewrite,2025-Q3,285,25,293,14,4,10,0.0478,1.0436,6.4704,101,79,22,30,0.5745,0,284,25,244132,61365,0.2009,182767,6743,12,0.0423,1,10.0,0.4167,10,1075.693661971831,0.7333333333333333,2026-Q1,12.0,-2.0,False
dagger/dagger,full_rewrite,2025-Q4,249,43,283,12,0,12,0.0424,0.5366,4.4259,95,51,44,29,0.4667,0,247,43,77244,32421,0.2956,44823,3695,12,0.0486,0,10.0,0.3,11,443.98785425101215,1.5172413793103448,2026-Q1,12.0,-1.0,False
dagger/dagger,full_rewrite,2026-Q1,228,45,265,8,0,8,0.0302,0.6341,3.9717,83,857,-774,30,0.4828,0,227,35,68872,23656,0.2557,45216,2712,9,0.0396,4,,,12,407.61233480176213,-25.8,2026-Q1,12.0,0.0,True
