repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn,commits_git,commits_git_bot,additions,deletions,churn_ratio,net_growth,files_touched,refactor_commit_count,refactor_commit_share,ai_coauthored_commits,core_size,turnover_core,qidx,churn_per_commit,backlog_per_contrib,adoption_q,adopt_idx,tau,post
Infisical/infisical,migration,2023-Q1,1087,20,156,5,0,5,0.0321,0.4195,3.0886,109,77,32,44,,1,809,18,82024,34793,0.2978,47231,3549,34,0.042,0,6.0,,0,144.39678615574783,0.7272727272727273,2026-Q1,12.0,-12.0,False
Infisical/infisical,migration,2023-Q2,715,34,128,2,0,2,0.0156,0.282,1.6838,78,41,37,20,0.8636,0,510,34,88531,55100,0.3836,33431,3400,10,0.0196,0,5.0,0.5,1,281.6294117647059,1.85,2026-Q1,12.0,-11.0,False
Infisical/infisical,migration,2023-Q3,934,3,158,5,0,5,0.0316,0.269,1.4564,134,103,31,42,0.65,0,725,3,92582,62712,0.4038,29870,3813,16,0.0221,0,8.0,0.2,2,214.19862068965517,0.7380952380952381,2026-Q1,12.0,-10.0,False
Infisical/infisical,migration,2023-Q4,583,3,108,4,2,2,0.037,0.2557,1.8584,81,48,33,24,0.7857,0,434,3,49353,30041,0.3784,19312,2059,15,0.0346,0,5.0,0.5,3,182.93548387096774,1.375,2026-Q1,12.0,-9.0,False
Infisical/infisical,migration,2024-Q1,1557,26,220,21,9,13,0.0955,0.0892,1.5502,94,49,45,25,0.6667,0,1300,26,150469,121903,0.4476,28566,7354,69,0.0531,0,3.0,0.4,4,209.51692307692306,1.8,2026-Q1,12.0,-8.0,False
Infisical/infisical,migration,2024-Q2,1733,4,296,44,2,44,0.1486,0.144,1.302,74,70,4,22,0.76,0,1347,23,85952,44829,0.3428,41123,4249,85,0.0631,0,5.0,0.0,5,97.090571640683,0.18181818181818182,2026-Q1,12.0,-7.0,False
Infisical/infisical,migration,2024-Q3,1604,6,318,15,3,14,0.0472,0.1814,1.2257,91,82,9,26,0.6818,0,1234,6,112269,46930,0.2948,65339,4880,83,0.0673,0,6.0,0.0,6,129.01053484602917,0.34615384615384615,2026-Q1,12.0,-6.0,False
Infisical/infisical,migration,2024-Q4,1215,2,284,17,0,17,0.0599,0.3701,2.9533,68,72,-4,27,0.6923,1,918,1,105115,42252,0.2867,62863,4211,51,0.0556,0,5.0,0.3333,7,160.53050108932462,-0.14814814814814814,2026-Q1,12.0,-5.0,False
Infisical/infisical,migration,2025-Q1,1302,3,289,10,0,10,0.0346,0.1598,1.5984,64,45,19,22,0.7037,1,974,3,343245,276789,0.4464,66456,13386,58,0.0595,0,5.0,0.2,8,636.5852156057495,0.8636363636363636,2026-Q1,12.0,-4.0,False
Infisical/infisical,migration,2025-Q2,2090,0,420,10,0,10,0.0238,0.2121,1.8864,58,37,21,17,0.4545,1,1527,0,283980,98295,0.2571,185685,10788,41,0.0269,0,6.0,0.0,9,250.34381139489196,1.2352941176470589,2026-Q1,12.0,-3.0,False
Infisical/infisical,migration,2025-Q3,1677,1,395,17,0,17,0.043,0.1882,1.9656,69,48,21,22,0.3529,1,1209,1,228010,139763,0.38,88247,9688,43,0.0356,0,5.0,0.1667,10,304.19602977667495,0.9545454545454546,2026-Q1,12.0,-2.0,False
Infisical/infisical,migration,2025-Q4,2446,1,361,13,0,13,0.036,0.7357,2.651,64,22,42,18,0.5455,1,1947,0,277766,147507,0.3469,130259,13512,111,0.057,0,7.0,0.4,11,218.42475603492554,2.3333333333333335,2026-Q1,12.0,-1.0,False
Infisical/infisical,migration,2026-Q1,2715,156,499,21,0,21,0.0421,0.6743,2.7648,46,117,-71,33,0.2778,1,2109,148,273581,102961,0.2734,170620,9280,233,0.1105,32,,,12,178.54054054054055,-2.1515151515151514,2026-Q1,12.0,0.0,True
Infisical/infisical,migration,2026-Q2,4162,112,776,51,0,51,0.0657,0.7725,2.8428,69,115,-46,35,0.4242,1,3059,111,585662,318988,0.3526,266674,18515,213,0.0696,51,,,13,295.7338999673096,-1.3142857142857143,2026-Q1,12.0,1.0,True
LedgerHQ/ledger-live,migration,2023-Q1,1056,10,494,15,0,15,0.0304,2.0004,7.2179,44,29,15,56,,0,817,36,1149015,665425,0.3667,483590,9342,24,0.0294,0,23.0,,0,2220.856793145655,0.26785714285714285,2025-Q4,11.0,-11.0,False
LedgerHQ/ledger-live,migration,2023-Q2,945,97,447,7,0,7,0.0157,1.5874,7.0171,33,45,-12,57,0.3571,0,762,90,157818,566642,0.7822,-408824,9500,22,0.0289,0,23.0,0.3043,1,950.7349081364829,-0.21052631578947367,2025-Q4,11.0,-10.0,False
LedgerHQ/ledger-live,migration,2023-Q3,1151,165,516,9,0,9,0.0174,0.9753,4.6654,18,19,-1,54,0.4211,0,844,146,513798,276406,0.3498,237392,6124,13,0.0154,1,19.0,0.5217,2,936.260663507109,-0.018518518518518517,2025-Q4,11.0,-9.0,False
LedgerHQ/ledger-live,migration,2023-Q4,1092,97,506,6,0,6,0.0119,1.9219,6.1761,20,16,4,50,0.3519,0,866,90,952063,1422938,0.5991,-470875,8133,20,0.0231,0,18.0,0.3684,3,2742.4953810623556,0.08,2025-Q4,11.0,-8.0,False
LedgerHQ/ledger-live,migration,2024-Q1,1290,67,482,18,0,18,0.0373,1.8728,6.9699,12,12,0,53,0.3,0,1064,66,90538,50512,0.3581,40026,6068,87,0.0818,0,20.0,0.4444,4,132.56578947368422,0.0,2025-Q4,11.0,-7.0,False
LedgerHQ/ledger-live,migration,2024-Q2,1190,92,474,15,0,15,0.0316,0.9563,5.6666,12,13,-1,52,0.3396,0,945,82,383546,260454,0.4044,123092,6736,60,0.0635,0,21.0,0.45,5,681.4814814814815,-0.019230769230769232,2025-Q4,11.0,-6.0,False
LedgerHQ/ledger-live,migration,2024-Q3,1155,67,550,12,0,12,0.0218,0.8981,3.1723,16,16,0,57,0.25,0,913,57,422937,228685,0.3509,194252,6670,53,0.0581,0,23.0,0.3333,6,713.7152245345017,0.0,2025-Q4,11.0,-5.0,False
LedgerHQ/ledger-live,migration,2024-Q4,1470,112,593,11,0,11,0.0185,1.039,4.256,20,18,2,54,0.3158,0,1133,98,150878,310119,0.6727,-159241,5911,18,0.0159,0,19.0,0.5217,7,406.88172992056485,0.037037037037037035,2025-Q4,11.0,-4.0,False
LedgerHQ/ledger-live,migration,2025-Q1,1663,271,674,10,0,10,0.0148,0.9679,4.8565,8,12,-4,71,0.2407,0,1164,257,230326,98293,0.2991,132033,6449,23,0.0198,0,29.0,0.2632,8,282.31872852233676,-0.056338028169014086,2025-Q4,11.0,-3.0,False
LedgerHQ/ledger-live,migration,2025-Q2,1777,289,619,22,0,22,0.0355,0.9699,4.4503,7,7,0,68,0.2817,0,1204,268,715263,453405,0.388,261858,7646,69,0.0573,0,31.0,0.5172,9,970.6544850498339,0.0,2025-Q4,11.0,-2.0,False
LedgerHQ/ledger-live,migration,2025-Q3,2546,292,897,47,0,47,0.0524,0.7257,3.0078,18,12,6,72,0.1765,0,1646,275,893453,922494,0.508,-29041,9550,121,0.0735,0,30.0,0.2903,10,1103.2484811664642,0.08333333333333333,2025-Q4,11.0,-1.0,False
LedgerHQ/ledger-live,migration,2025-Q4,2721,269,1001,54,0,54,0.0539,0.7891,3.6671,9,22,-13,73,0.25,0,1680,258,215489,205927,0.4887,9562,13344,115,0.0685,8,32.0,0.4,11,250.84285714285716,-0.1780821917808219,2025-Q4,11.0,0.0,True
LedgerHQ/ledger-live,migration,2026-Q1,4480,313,1599,93,0,93,0.0582,0.7306,2.8211,8,6,2,78,0.2192,0,2814,302,1702977,1863127,0.5225,-160150,24443,230,0.0817,102,,,12,1267.272210376688,0.02564102564102564,2025-Q4,11.0,1.0,True
LedgerHQ/ledger-live,migration,2026-Q2,5843,312,2174,168,0,168,0.0773,0.7498,2.9368,18,15,3,92,0.1154,0,3648,301,704029,486803,0.4088,217226,26637,412,0.1129,286,,,13,326.4342105263158,0.03260869565217391,2025-Q4,11.0,2.0,True
PostHog/posthog,full_rewrite,2023-Q1,965,3,984,66,0,66,0.0671,0.3597,1.8427,247,172,75,30,,0,956,3,134049,74590,0.3575,59459,5972,65,0.068,0,13.0,,0,218.24163179916317,2.5,2025-Q1,8.0,-8.0,False
